id,movie_name,year,directors,actors,critic_rating,genre,pg_rating,duration
1338,The Secret Life of Walter Mitty,2013,Ben Stiller,"Ben Stiller,Kristen Wiig,Adam Scott,Kathryn Hahn,Patton Oswalt,Terence Bernie Hines,Kathryn Hahn",2,"Adventure, Comedy, Drama, Fantasy",Rated PG,114 minutes
1339,Grudge Match,2013,Peter Segal,"Robert De Niro,Sylvester Stallone,Alan Arkin,Jon Bernthal,Kevin Hart,Kim Basinger,Judd Lormand,Nicole Andrews,Han Soto",2.5,Comedy,Rated PG-13,113 minutes
1340,The Wolf of Wall Street,2013,Martin Scorsese,"Leonardo DiCaprio,Jonah Hill,Matthew McConaughey,Jon Bernthal,Jon Favreau,Cristin Milioti,Kyle Chandler,Ethan Suplee,Spike Jonze,Rob Reiner,Jean Dujardin,Margot Robbie",3.5,"Comedy, Crime, Drama",Rated R,179 minutes
1341,August: Osage County,2013,John Wells,"Meryl Streep,Julia Roberts,Juliette Lewis,Julianne Nicholson,Sam Shepard,Benedict Cumberbatch,Ewan McGregor,Abigail Breslin,Chris Cooper,Margo Martindale,Dermot Mulroney,Misty Upham",3,"Comedy, Drama",Rated R,130 minutes
1342,Interior. Leather Bar.,2014,"James Franco,Travis Mathews","James Franco,Val Lauren,Christian Patrick,Brenden Gregory,Brad Roberge,Robbie Acklen,Osbaldo Daniel Alvarez,Andres Barcelo,Samantha Barrows,Nick Buda,Jol Devitro",2.5,Drama,,60 minutes
1343,Justin Bieber's Believe,2013,Jon M. Chu,"Justin Bieber,Scooter Braun,Ryan Good,Usher,Pattie Mallette,Jeremy Bieber,Mike Posner",2.5,"Documentary, Music",Rated PG,91 minutes
1344,Open Grave,2014,Gonzalo López-Gallego,"Joseph Morgan,Sharlto Copley,Thomas Kretschmann,Erin Richards,Josie Ho,Max Wrottesley",2,"Horror, Mystery, Thriller",Rated R,102 minutes
1345,Beyond Outrage,2014,Takeshi Kitano,"Takeshi Kitano,Ryo Kase,Toshiyuki Nishida,Shun Sugata,Fumiyo Kohinata,Hideo Nakano",2.5,"Action, Foreign",Rated R,110 minutes
1346,7 Boxes,2014,"Juan Carlos Maneglia,Tana Schémbori","Celso Franco,Lali González,Víctor Sosa,Nico García",3.5,"Action, Thriller",Rated NR,100 minutes
1347,The Monuments Men,2014,George Clooney,"George Clooney,Matt Damon,Bill Murray,Cate Blanchett,John Goodman,Jean Dujardin,Hugh Bonneville,Bob Balaban,Dimitri Leonidas,Bob Balaban",2.5,"Drama, War",Rated PG-13,118 minutes
1348,A Field in England,2013,Ben Wheatley,"Julian Barratt,Michael Smiley,Reece Shearsmith,Peter Ferdinando,Ryan Pope,Richard Glover",3,"Drama, History, Thriller",Rated NR,90 minutes
1349,RoboCop,2014,José Padilha,"Joel Kinnaman,Gary Oldman,Michael Keaton,Abbie Cornish,Samuel L. Jackson,Jackie Earle Haley,Jennifer Ehle,Jay Baruchel",1,"Action, Crime, Science Fiction, Thriller",Rated PG-13,102 minutes
1350,The New Black,2014,Yoruba Richen,,3,Documentary,Rated NR,80 minutes
1351,The Returned,2014,Manuel Carballo,"Kris Holden-Ried,Emily Hampshire,Shawn Doyle,Claudia Bassols",2.5,Horror,Rated NR,98 minutes
1352,Girl on a Bicycle,2014,Jeremy Leven,"Vincenzo Amato,Nora Tschirner,Paddy Considine,Louise Monot,Stéphane Debac,Brice Fournier,Kellie Shirley",0.5,"Comedy, Romance",Rated R,101 minutes
1353,Easy Money: Hard to Kill,2014,Babak Najafi,"Joel Kinnaman,Matias Varela,Dragomir Mrsic,Fares Fares,Dejan Čukić",2,"Action, Crime, Drama, Thriller",,99 minutes
1354,Date and Switch,2014,Chris Nelson,"Nicholas Braun,Dakota Johnson,Sarah Hyland,Nick Offerman,Wendi McLendon-Covey,Megan Mullally,Gary Cole,Brian Geraghty,Zach Cregger,Adam DiMarco",1,Comedy,Rated R,
1355,About Last Night,2014,Steve Pink,"Kevin Hart,Michael Ealy,Regina Hall,Joy Bryant,Christopher McDonald,Adam Rodriguez,Joe Lo Truglio,Paula Patton",3,"Comedy, Romance",Rated R,
1356,Adult World,2013,Scott Coffey,"John Cusack,Emma Roberts,Armando Riesco,Shannon Woodward,Chris Riggi,Darin Scott,Scott Coffey",2,Comedy,Rated R,107 minutes
1357,Winter's Tale,2014,Akiva Goldsman,"Colin Farrell,Russell Crowe,Jessica Brown Findlay,Jennifer Connelly,William Hurt,Matt Bomer,Will Smith,Kevin Durand,Eva Marie Saint,Kevin Corrigan,Lucy Griffiths,Graham Greene",1.5,"Drama, Fantasy, Mystery",Rated PG-13,
1358,Endless Love,2014,Shana Feste,"Alex Pettyfer,Gabriella Wilde,Bruce Greenwood,Joely Richardson,Rhys Wakefield,Robert Patrick,Dayo Okeniyi,Emma Rigby,Anna Enger",2,"Drama, Romance",Rated PG-13,103 minutes
1359,Jimmy P.,2014,Arnaud Desplechin,"Benicio Del Toro,Mathieu Amalric,Gina McKee,Larry Pine,Joseph Cross,Misty Upham,Michelle Thrush",3.5,Drama,Rated NR,114 minutes
1360,Gunday,2014,Ali Abbas Zafar,"Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Irrfan Khan",3,"Action, Crime, Drama",Rated NR,152 minutes
1361,Child's Pose,2014,Calin Peter Netzer,"Luminita Gheorghiu,Bogdan Dumitrache,Natasa Raab,Ilinca Goia,Florin Zamfirescu,Vlad Ivanov",3.5,"Drama, Foreign",Rated NR,116 minutes
1362,Barefoot,2014,Andrew Fleming,"Evan Rachel Wood,Scott Speedman,J.K. Simmons,Treat Williams,Kate Burton",2,"Comedy, Drama",Rated PG-13,90 minutes
1363,Highway,2014,Imtiaz Ali,"Alia Bhatt,Randeep Hooda,Durgesh Kumar,Pradeep Nagar,Saharsh Kumar Shukla",2.5,"Drama, Romance",Rated NR,133 minutes
1364,In Secret,2014,Charlie Stratton,"Elizabeth Olsen,Tom Felton,Jessica Lange,Dimitrije Bogdanov,Matt Devere,Lily Laight,Matt Lucas,Oscar Isaac,Shirley Henderson,MacKenzie Crook,John Kavanagh",3,"Crime, Drama, Romance, Thriller",Rated R,101 minutes
1365,Omar,2013,Hany Abu-Assad,"Adam Bakri,Waleed Zuaiter,Leem Lubany,Samer Bisharat,Iyad Hoorani",3.5,,Rated NR,96 minutes
1366,3 Days to Kill,2014,McG,"Kevin Costner,Amber Heard,Hailee Steinfeld,Connie Nielsen,Richard Sammel,Tómas Lemarquis,Marc Andréoni,Eriq Ebouaney",2,"Action, Crime, Drama, Thriller",Rated PG-13,113 minutes
1367,Elaine Stritch: Shoot Me,2014,Chiemi Karasawa,"Elaine Stritch,Tina Fey,Cherry Jones,Nathan Lane,James Gandolfini,Alec Baldwin,John Turturro,Harold Prince",3.5,Documentary,Rated NR,81 minutes
1368,Paranormal Activity: The Marked Ones,2014,Christopher B. Landon,"Molly Ephraim,Katie Featherston,Richard Cabral,Carlos Pratts,Eddie J. Fernandez,Jorge Diaz,David Fernandez Jr.,Crystal Santos,Catherine Toribio",2,"Horror, Thriller",Rated R,84 minutes
1369,The Best Offer,2013,Giuseppe Tornatore,"Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,Maximilian Dirr,Philip Jackson,Dermot Crowley,Liya Kebede,Brigitte Christensen",1.5,"Crime, Drama, Romance",Rated R,124 minutes
1370,Dumbbells,2014,Christopher Livingston,"Mircea Monroe,Taylor Cole,Jay Mohr,Tom Arnold,Jaleel White,Amy Paffrath,Andy Milonakis,Olivia Taylor Dudley,Carl Reiner",0,Comedy,,
1371,Divorce Corp,2014,Joe Sorge,"Drew Pinksy,Gloria Allred,Lynn Toler,Laura Wasser,Mark Byron,Steve Hitner,Ulf Carlsson,Alexandra Borg",2,Documentary,,88 minutes
1372,The Banshee Chapter,2014,Blair Erickson,"Katia Winter,Ted Levine,Michael McMillian,Monique Candelaria,Jenny Gabrielle,David Midthunder,Chad Brummett,Cyd Schulte",3,"Horror, Thriller",Rated R,87 minutes
1373,G.B.F.,2014,Darren Stein,"Michael J. Willett,Paul Iacono,Sasha Pieterse,Evanna Lynch,Megan Mullally,Natasha Lyonne,Rebecca Gayheart,Jonathan Silverman,JoJo,Andrea Bowen",2.5,Comedy,Rated R,92 minutes
1374,The Nut Job,2014,Peter Lepeniotis,"Will Arnett,Katherine Heigl,Brendan Fraser,Liam Neeson,Stephen Lang,Sarah Gadon",2,"Animation, Comedy",Rated PG,
1375,"Like Father, Like Son",2014,Hirokazu Kore-eda,"Masaharu Fukuyama,Machiko Ono,Yôko Maki,Jun Kunimura,Kirin Kiki,Lily Franky,Jun Fubuki",3.5,Drama,,120 minutes
1376,Enemies Closer,2014,Peter Hyams,"Jean-Claude Van Damme,Tom Everett Scott,Orlando Jones,Linzey Cocker,Kristopher Van Varenberg",2.5,"Action, Thriller",Rated R,85 minutes
1377,Summer in February,2014,Christopher Menaul,"Dominic Cooper,Emily Browning,Dan Stevens,Hattie Morahan,Mia Austen,Shaun Dingwall,Max Deacon,Michael Maloney,Nicholas Farrell",1.5,"Drama, Romance",,101 minutes
1378,Visitors,2014,Godfrey Reggio,"Jeff Pope,Rob Tunstall",3,Documentary,,87 minutes
1379,Gloria,2014,Sebastián Lelio,"Paulina Garcia,Sergio Hernández,Diego Fontecilla,Fabiola Zamora,Coca Guazzini,Hugo Moraga,Alejandro Goic,Liliana García",4,"Comedy, Drama, Foreign",Rated R,105 minutes
1380,24 Exposures,2014,Joe Swanberg,"Adam Wingard,Simon Barrett,Helen Rogers,Caroline White,Sophia Takal,Mike Brune,Caitlin Stainken,Hannah Fierman",2,,,
1381,Gimme Shelter,2014,Ron Krauss,"Vanessa Hudgens,Rosario Dawson,Brendan Fraser,Stephanie Szostak,James Earl Jones,Dascha Polanco,Emily Meade",2.5,Drama,Rated PG-13,
1382,Stranger by the Lake,2014,Alain Guiraudie,"Pierre de Ladonchamps,Christophe Paou,Patrick d'Assumçao,Jérôme Chappatte,Gilbert Traina,Emmanuel Daumas,Sébastien Badachaoui,Gilles Guérin,François Labarthe",4,Drama,Rated NR,97 minutes
1383,"I, Frankenstein",2014,Stuart Beattie,"Aaron Eckhart,Yvonne Strahovski,Bill Nighy,Jai Courtney,Miranda Otto,Aden Young",1,"Horror, Thriller",Rated PG-13,92 minutes
1384,Run & Jump,2014,Steph Green,"Maxine Peake,Edward MacLiam,Will Forte,Sharon Horgan,Ciara Gallagher,Ri Galway,Brendan Morris,Ruth McCabe,Kelby Guilfoyle",3,Drama,,102 minutes
1385,Best Night Ever,2014,"Jason Friedberg,Aaron Seltzer","Desiree Hall,Samantha Colburn,Eddie Ritchard,Crista Flanagan,Guile Branco,Amin Joseph",1.5,Comedy,Rated R,90 minutes
1386,Brightest Star,2014,Maggie Kiley,"Chris Lowell,Allison Janney,Jessica Szohr,Clark Gregg,Rose McIver,Peter Jacobson,Elvy Yost",1.5,,,
1387,12 O’Clock Boys,2014,Lotfy Nathan,,1,Documentary,Rated NR,76 minutes
1388,Tim's Vermeer,2013,Teller,"Tim Jenison,Colin Blakemore,David Hockney,Penn Jillette,Martin Mull",3.5,Documentary,Rated PG-13,80 minutes
1389,At Middleton,2014,Adam Rogers,"Vera Farmiga,Andy García,Taissa Farmiga,Spencer Lofranco,Nicholas Braun,Tom Skerritt,Peter Riegert",2,Romance,Rated R,
1390,Labor Day,2013,Jason Reitman,"Kate Winslet,Josh Brolin,Gattlin Griffith,Clark Gregg,Tobey Maguire,James Van Der Beek,Maika Monroe,Brooke Smith,Tom Lipinski,Alexie Gilmore",1.5,Drama,Rated PG-13,111 minutes
1391,That Awkward Moment,2014,Tom Gormican,"Zac Efron,Imogen Poots,Miles Teller,Addison Timlin,Michael B. Jordan,Jessica Lucas,Josh Pais",2,"Comedy, Romance",Rated R,
1392,Afternoon of a Faun: Tanaquil Le Clercq,2014,Nancy Buirski,"Jerome Robbins,Jacques D'Amboise,George Balanchine",3.5,"Documentary, Drama",Rated NR,91 minutes
1393,Nurse 3D,2014,Douglas Aarniokoski,"Katrina Bowden,Judd Nelson,Paz de la Huerta,Corbin Bleu,Boris Kodjoe,Niecy Nash,Melanie Scrofano,Adam Herschman",2.5,Thriller,Rated R,99 minutes
1394,Vampire Academy,2014,Mark Waters,"Zoey Deutch,Lucy Fry,Danila Kozlovskiy,Gabriel Byrne,Sarah Hyland,Olga Kurylenko,Joely Richardson",1,"Action, Adventure, Drama, Fantasy, Romance",Rated PG-13,
1395,Someone Marry Barry,2014,Rob Pearlstein,"Tyler Labine,Damon Wayans, Jr.,Lucy Punch,Hayes MacArthur,Amanda Lund,Frances Shaw,Ginger Gonzaga,Ed Helms",1.5,Comedy,,
1396,Welcome to the Jungle,2013,Rob Meltzer,"Kristen Schaal,Megan Boone,Jean-Claude Van Damme,Adam Brody,Rob Huebel,Aaron Takahashi,Bianca Bree,Eric Edelstein,Robert Peters",1,Comedy,Rated NR,95 minutes
1397,A Fantastic Fear of Everything,2012,"Crispian Mills,Chris Hopewell","Simon Pegg,Paul Freeman,Clare Higgins,Alan Drake,Elliot Greene,Harley Kierans,Kamal Onyiukah",2.5,"Comedy, Thriller",Rated R,100 minutes
1398,The Pretty One,2014,Jenée LaMarque,"Jake M. Johnson,Zoe Kazan,Ron Livingston,Danny Pudi,Sterling Beaumon,Jeremy Howard",2.5,"Comedy, Drama",Rated R,
1399,Love & Air Sex,2013,Bryan Poyser,"Ashley Bell,Zach Cregger,Sara Paxton,Michael Stahl-David,Addison Timlin,Marshall Allman,Justin Arnold",2,Comedy,,92 minutes
1400,Delivery Man,2013,Ken Scott,"Vince Vaughn,Cobie Smulders,Chris Pratt,Bobby Moynihan,Jack Reynor,Britt Robertson,Andrzej Blumenfeld,Simon Delaney,Dave Pattenden,Adam Chanler-Berat,Amos VanderPoel,Matthew Daddario",1.5,Comedy,Rated PG-13,103 minutes
1401,Two Jacks,2013,Bernard Rose,"Billy Zane,Sienna Miller,Danny Huston,Jack Huston,Jacqueline Bisset",2.5,"Comedy, Drama",,90 minutes
1402,Camille Claudel 1915,2013,Bruno Dumont,"Juliette Binoche,Jean-Luc Vincent,Emmanuel Kauffman,Marion Keller,Robert Leroy,Armelle Leroy-Rolland",4,Drama,,95 minutes
1403,I Will Follow You Into the Dark,2013,Mark Edwin Robinson,"Mischa Barton,Ryan Eggold,Leah Pipes,Frank Ashmore,Melinda Browne",2.5,"Drama, Horror, Romance, Thriller",Rated NR,107 minutes
1404,Escape Plan,2013,Mikael Håfström,"Sylvester Stallone,Arnold Schwarzenegger,Vinnie Jones,50 Cent,Matt Gerald,Christian Stokes,Jim Caviezel,Vincent D'Onofrio,Sam Neill",1.5,"Action, Mystery, Thriller",Rated R,
1405,Ghost Team One,2013,"Scott Rutherford,Ben Peyser","Tony Cavalero,Meghan Falcone,Fernanda Romero,Carlos Santos,J.R. Villarreal,James Babson,Craig Stott,Scott MacArthur",0.5,"Comedy, Horror",Rated R,107 minutes
1406,Enzo Avitabile Music Life,2013,Jonathan Demme,"Enzo Avitabile,Eliades Ochoa,Naseer Shamma,Gerardo Nunez",3,,,
1407,American Promise,2013,"Joe Brewster,Michele Stephenson",,4,Documentary,,142 minutes
1408,Kill Your Darlings,2013,John Krokidas,"Daniel Radcliffe,Elizabeth Olsen,Michael C. Hall,Ben Foster,Dane DeHaan,Jack Huston,Jennifer Jason Leigh,Kyra Sedgwick,David Cross,David Rasche",1.5,"Drama, Romance",Rated R,95 minutes
1409,12 Years a Slave,2013,Steve McQueen,"Chiwetel Ejiofor,Michael Fassbender,Michael Kenneth Williams,Paul Dano,Benedict Cumberbatch,Garret Dillahunt,Ruth Negga,Sarah Paulson,Paul Giamatti,Brad Pitt,Alfre Woodard,Scoot McNairy,Taran Killam",3.5,"Drama, History",Rated R,133 minutes
1410,All Is Lost,2013,J.C. Chandor,Robert Redford,4,"Action, Adventure",Rated PG-13,106 minutes
1411,Carrie,2013,Kimberly Peirce,"Julianne Moore,Judy Greer,Portia Doubleday,Alex Russell,Gabriella Wilde,Max Topplin,Connor Price,Michelle Nolden,Cynthia Preston,Chloë Moretz,Ansel Elgort",3,"Drama, Horror",Rated R,
1412,The Fifth Estate,2013,Bill Condon,"Benedict Cumberbatch,Daniel Brühl,Alicia Vikander,Peter Capaldi,Jamie Blackley,Stanley Tucci,Dan Stevens,Laura Linney,Carice van Houten,David Thewlis,Peter Capaldi,Moritz Bleibtreu",2,Drama,Rated R,124 minutes
1413,Oldboy,2013,Spike Lee,"Josh Brolin,Samuel L. Jackson,Elizabeth Olsen,Sharlto Copley,Lance Reddick,Michael Imperioli,Richard Portnow,Max Casella",3,"Drama, Mystery, Thriller",Rated R,
1414,The Christmas Candle,2013,John Stephenson,"Hans Matheson,Samantha Barks,Lesley Manville,Sylvester McCoy,James Cosmo,Susan Boyle,Barbara Flynn,John Hannah,Jude Wright,Emily Shewell",1.5,,Rated PG,100 minutes
1415,Frozen,2013,"Chris Buck,Jennifer Lee","Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad,Alan Tudyk,Eva Bella,Livvy Stubenrauch,Santino Fontana,Christopher Williams",2.5,"Adventure, Animation, Family, Musical",Rated PG,
1416,Homefront,2013,Gary Fleder,"James Franco,Jason Statham,Winona Ryder,Rachelle Lefevre,Kate Bosworth",2.5,"Action, Thriller",Rated R,
1417,Lenny Cooke,2013,"Ben Safdie,Joshua Safdie",Lenny Cooke,3,Documentary,,88 minutes
1418,Mandela: Long Walk to Freedom,2013,Justin Chadwick,"Idris Elba,Naomie Harris,Mark Elderkin,Robert Hobbs,Tony Kgoroge,Riaad Moosa,Jamie Bartlett,Lindiwe Matshikiza,Terry Pheto,Deon Lotz",2,"Drama, History",Rated PG-13,152 minutes
1419,Out of the Furnace,2013,Scott Cooper,"Christian Bale,Zoe Saldana,Woody Harrelson,Forest Whitaker,Casey Affleck,Willem Dafoe,Sam Shepard,Boyd Holbrook,Tom Bower,Mark Kubr,Gordon Michaels,Jack Erdie,Efka Kvaraciejus",2,"Crime, Drama, Thriller",Rated R,
1420,Black Nativity,2013,Kasi Lemmons,"Forest Whitaker,Angela Bassett,Jennifer Hudson,Vondie Curtis-Hall,Jacob Latimore,Rotimi Akinosho,Henry Hunter Hall,Ebony J Lewis,J. Mallory McCree,Michael Mcfadden,Doug Willen,Alexander Blaise,Chris Nunez,Marcia M Francis,Iris Taylor,Tyrese Gibson,Mary J. Blige,Nas",3,"Drama, Musical",Rated PG,93 minutes
1421,Twice Born,2013,Sergio Castellitto,"Penélope Cruz,Emile Hirsch,Adnan Haskovic,Pietro Castellitto,Saadet Işıl Aksoy,Mira Furlan,Vinicio Marinucci,Branko Djuric,Jane Birkin,Luca De Filippo",1.5,"Drama, History, Romance",Rated R,124 minutes
1422,Expecting,2013,Jessie McCormack,"Radha Mitchell,Michelle Monaghan,Jon Dore,Michael Weston,Mimi Kennedy,Sarah Aldrich,Elizabeth Bond,Nuala Campbell",1.5,"Comedy, Drama",,87 minutes
1423,The Last Days on Mars,2013,Ruairi Robinson,"Liev Schreiber,Romola Garai,Elias Koteas,Olivia Williams,Johnny Harris,Goran Kostić,Tom Cullen,Yusra Warsama",2,"Science Fiction, Thriller",Rated PG-13,91 minutes
1424,Merry Christmas,2013,Anna Condo,"Alexandra Stewart,Antony Langdon,Tibor Feldman,Wally Dunn,Elizabeth Jasicki,Angelique Cinelu,Eleonore Condo",1.5,Comedy,Rated NR,83 minutes
1425,Inside Llewyn Davis,2013,"Joel Coen,Ethan Coen","Oscar Isaac,Carey Mulligan,Justin Timberlake,John Goodman,Ethan Phillips,Robin Bartlett,Max Casella,Jerry Grayson,Jeanine Serralles,Adam Driver,Stark Sands,Alex Karpovsky,Garrett Hedlund",4,Drama,Rated R,105 minutes
1426,Nuclear Nation,2013,Atsushi Funahashi,,2.5,Documentary,Rated NR,96 minutes
1427,S#x Acts,2013,Johnathan Gurfinkel,"Sivan Levy,Roy Nik,Eviatar Mor,Tal Grushka",3,Drama,Rated NR,100 minutes
1428,Crave,2013,Charles de Lauzirika,"Josh Lawson,Emma Lung,Ron Perlman,Edward Furlong,Christopher Stapleton,Jim Hanna,Tonya Cornelisse,Richard Speight, Jr.",2,"Drama, Thriller",,113 minutes
1429,The Crash Reel,2012,Lucy Walker,"Kevin Pearce,Shaun White,Scotty Lago,Jake Burton",4,Documentary,Rated NR,108 minutes
1430,Trap For Cinderella,2013,Iain Softley,"Aneurin Barnard,Tuppence Middleton,Frances de la Tour,Alexandra Roach,Kerry Fox",1,"Crime, Drama, Thriller",,100 minutes
1431,The Punk Singer,2013,Sini Anderson,"Kathleen Hanna,Adam Horovitz,Joan Jett,Jennifer Baumgardner,Johanna Fateman",3.5,Documentary,,80 minutes
1432,Here Comes the Devil,2013,Adrián García Bogliano,"Francisco Barreiro,Laura Caro,Alan Martinez,Michele Garcia,David Arturo Cabezud,Enrique Saint-Martin,Michele Estrada,Jessica Iris,Dana Dorel,Juan Carlos Arreguin",1,,Rated R,97 minutes
1433,Hours,2013,Eric Heisserer,"Paul Walker,Génesis Rodríguez,Nick Gomez,Judd Lormand,Lena Clark,Tony Bentley",2.5,"Drama, Thriller",Rated PG-13,97 minutes
1434,Some Velvet Morning,2013,Neil Labute,"Alice Eve,Stanley Tucci",3,,,82 minutes
1435,Saving Mr. Banks,2013,John Lee Hancock,"Emma Thompson,Tom Hanks,Colin Farrell,Paul Giamatti,Bradley Whitford,Jason Schwartzman,B. J. Novak,Kathy Baker,Rachel Griffiths,Ruth Wilson",3,"Comedy, Drama",Rated PG-13,125 minutes
1436,Big Sur,2013,Michael Polish,"Kate Bosworth,Stana Katic,Josh Lucas,Henry Thomas,Radha Mitchell,Jean-Marc Barr,Anthony Edwards,Balthazar Getty,Nora Kirkpatrick,Patrick Fischler",2,,Rated R,100 minutes
1437,Thor: The Dark World,2013,Alan Taylor,"Chris Hemsworth,Natalie Portman,Tom Hiddleston,Idris Elba,Jaimie Alexander,Stellan Skarsgård,Zachary Levi,Christopher Eccleston,Adewale Akinnuoye-Agbaje,Kat Dennings,Tadanobu Asano,Rene Russo,Anthony Hopkins,Clive Russell,Chris O'Dowd,Tony Curran",2.5,"Action, Adventure, Fantasy",Rated PG-13,112 minutes
1438,Aftermath,2013,Władysław Pasikowski,"Ireneusz Czop,Maciej Stuhr,Jerzy Radziwiłowicz,Zuzana Fialová,Andrzej Mastalerz,Zbigniew Zamachowski,Danuta Szaflarska,Jerzy Szynkiewicz",1.5,"Drama, Thriller",Rated NR,107 minutes
1439,The Armstrong Lie,2013,Alex Gibney,Lance Armstrong,3,Documentary,Rated R,
1440,Paris Countdown,2013,Edgar Marie,"Jacques Gamblin,Olivier Marchal,Carlo Brandt,Reda Kateb,Igor Skreblin,Francis Renaud,James Kazama,Laure Marsac",1.5,Thriller,Rated NR,
1441,The Trials of Muhammad Ali,2013,Bill Siegel,Muhammad Ali,3.5,Documentary,Rated NR,86 minutes
1442,The Starving Games,2013,"Aaron Seltzer,Jason Friedberg","Maiara Walsh,Brant Daugherty,Lauren Bowles,Cody Christian,Alexandria Deberry,Diedrich Bader,Ashton Leigh,Joseph Aviel,Eric Buarque,Alice Ford",0,Comedy,Rated PG-13,91 minutes
1443,At Berkeley,2013,Frederick Wiseman,,3.5,Documentary,,244 minutes
1444,Ilya and Emilia Kabakov: Enter Here,2013,Amei Wallach,"Ilya Kabakov,Emilia Kabakov",3,,Rated NR,103 minutes
1445,Sunlight Jr.,2013,Laurie Collyer,"Naomi Watts,Matt Dillon,Norman Reedus,Tess Harper,Antoni Corone,William Haze",2.5,,Rated NR,94 minutes
1446,Reaching for the Moon,2013,Bruno Barreto,"Miranda Otto,Glória Pires,Tracy Middendorf,Treat Williams",2,,Rated NR,118 minutes
1447,Charlie Countryman,2013,Fredrik Bond,"Shia LaBeouf,Rupert Grint,Evan Rachel Wood,Mads Mikkelsen,Til Schweiger,Melissa Leo",1,"Action, Comedy",Rated R,108 minutes
1448,"The 25,000 Mile Love Story",2013,John Davies,,3,Documentary,Rated NR,86 minutes
1449,Boss,2013,Anthony D'Souza,"Akshay Kumar,Mithun Chakraborty,Shiv Pandit,Ronit Roy,Aditi Rao Hydari",1.5,"Action, Drama",Rated NR,143 minutes
1450,Dear Mr. Watterson,2013,Joel Allen Schroeder,Seth Green,2.5,Documentary,Rated NR,89 minutes
1451,Big Ass Spider!,2013,Mike Mendez,"Greg Grunberg,Lombardo Boyar,Clare Kramer,Ray Wise,Lin Shaye,Patrick Bauchau,Lloyd Kaufman",2,Science Fiction,Rated PG-13,85 minutes
1452,I'm in Love with a Church Girl,2013,Steve Race,"Adrienne Bailon,Ja Rule,Michael Madsen,Stephen Baldwin,Vincent Pastore,Martin Kove,Adrian Bustamante",2,Drama,Rated PG,
1453,Not Yet Begun to Fight,2013,"Shasta Grenier,Sabrina Lee",,3.5,,Rated NR,60 minutes
1454,Jackass Presents: Bad Grandpa,2013,Jeff Tremaine,"Johnny Knoxville,Jackson Nicoll,Bam Margera,Chris Pontius,Preston Lacy,Dave England,Ehren McGhehey",3,"Comedy, Documentary",Rated R,
1455,The Square,2013,Jehane Noujaim,,3,"Comedy, Documentary, Drama, History",,88 minutes
1456,The Counselor,2013,Ridley Scott,"Michael Fassbender,Brad Pitt,Penelope Cruz,Javier Bardem,Cameron Diaz,Rosie Perez,Goran Višnjić,Bruno Ganz",2,Thriller,Rated R,
1457,Blue Is the Warmest Color,2013,Abdellatif Kechiche,"Adèle Exarchopoulos,Léa Seydoux,Catherine Salée,Jeremie Laheurte,Aurélien Recoing,Sandor Funtek,Salim Kechiouche,Mona Walravens",3,"Drama, Romance",Rated NC-17,179 minutes
1458,Skinwalker Ranch,2013,Devin McGinn,"Steve Berg,Erin Cahill,Kyle Davis,Devin McGinn",2.5,"Horror, Science Fiction, Thriller",Rated R,
1459,Sal,2013,James Franco,"Val Lauren,Jim Parrack,James Franco,Vince Jolivette,Trevor Neuhoff,Stacey Miller,Brian Goodman,Raymond T. Williams,Boyd Smith,Jacquelyn Deme,Jason Fox,Brian Lally,Christian Olave,Jocelyn Ayanna,Felicity Bryant",1.5,,,103 minutes
1460,These Birds Walk,2013,"Omar Mullick,Bassam Tariq",,4,"Documentary, Drama",Rated NR,71 minutes
1461,The Pervert's Guide to Ideology,2013,Sophie Fiennes,Slavoj Žižek,3,,Rated R,134 minutes
1462,Man of Tai Chi,2013,Keanu Reeves,"Keanu Reeves, Tiger Hu Chen,Jeremy Marinas,Steven Dasz,Karen Mok Man-Wai,Michael Chan,Qing Ye,Yu Hai,Sam Lee,Iko Uwais",3,Action,Rated R,105 minutes
1463,Last Love,2013,Sandra Nettelbeck,"Michael Caine,Clémence Poésy,Gillian Anderson,Justin Kirk,Jane Alexander,Richard Hope",1,Drama,,116 minutes
1464,Ender's Game,2013,Gavin Hood,"Asa Butterfield,Hailee Steinfeld,Harrison Ford,Abigail Breslin,Aramis Knight,Moisés Arias,Jimmy ""Jax"" Pinchak,Viola Davis,Ben Kingsley,Suraj Partha,Khlylin Rhambo",2,Science Fiction,Rated PG-13,110 minutes
1465,La Camioneta: The Journey of One American School Bus,2013,Mark Kendall,,3,Documentary,Rated NR,72 minutes
1466,Diana,2013,Oliver Hirschbiegel,"Naomi Watts,Naveen Andrews,Charles Edwards,Douglas Hodge,Lee Asquith-Coe,Cas Anvar,Geraldine James,Juliet Stevenson,Laurence Belcher,Michael Byrne,Douglas Hodge,Mary Stockley,Chris Cowlin,Daniel Pirrie,Raffaello Degruttola",1,Drama,Rated PG-13,
1467,Free Birds,2013,Jimmy Hayward,"Woody Harrelson,Owen Wilson,Dan Fogler,David S. Lee,Amy Poehler,Colm Meaney,Lesley Nicol,George Takei",1.5,"Animation, Comedy, Family",Rated PG,
