ID,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
1391,Deep belief nets,Encyclopedia of Machine Learning,"Hinton, Geoffrey",267--269,2010,,incollection,Springer US,,,
1392,Gated softmax classification,Advances in Neural Information Processing Systems,"Memisevic, Roland and Zach, Christopher and Pollefeys, Marc and Hinton, Geoffrey E",1603--1611,2010,,inproceedings,,,,
1393,The ups and downs of Hebb synapses.,,"Hinton, Geoffrey",10,2003,,article,Canadian Psychological Association,Canadian Psychology/Psychologie canadienne,1,44
1394,Connectionist Models: Proceedings of the 1990 Summer School,,"Touretzky, David S and Elman, Jeffrey L and Sejnowski, Terrence J",,2014,,book,Morgan Kaufmann,,,
1395,Deep belief nets for natural language call-routing,"Acoustics, Speech and Signal Processing (ICASSP), 2011 IEEE International Conference on","Sarikaya, Ruhi and Hinton, Geoffrey E and Ramabhadran, Bhuvana",5680--5683,2011,IEEE,inproceedings,,,,
1396,Learning Generative Texture Models with extended Fields-of-Experts.,BMVC,"Heess, Nicolas and Williams, Christopher KI and Hinton, Geoffrey E",1--11,2009,,inproceedings,,,,
1397,Coaching variables for regression and classification,,"Tibshirani, Robert and Hinton, Geoffrey",25--33,1998,,article,Kluwer Academic Publishers,Statistics and Computing,1,8
1398,A better way to learn features: technical perspective,,"Hinton, Geoffrey E",94--94,2011,,article,ACM,Communications of the ACM,10,54
1399,Local physical models for interactive character animation,,"Oore, Sageev and Terzopoulos, Demetri and Hinton, Geoffrey",337--346,2002,,article,Wiley Online Library,Computer Graphics Forum,3,21
1400,"Learning internal representations by error propagation, parallel distributed processing",,"Rumlhart, DE and Hinton, GE and Wiliams, RJ",,1986,,book,"Cambridge, MA: MIT Press",,,3182362
1401,Free energy coding,"Data Compression Conference, 1996. DCC'96. Proceedings","Frey, Brendan J and Hinton, Geoffrey E",73--81,1996,IEEE,inproceedings,,,,
1402,Temporal-kernel recurrent neural networks,,"Sutskever, Ilya and Hinton, Geoffrey",239--243,2010,,article,Pergamon,Neural Networks,2,23
1403,Deterministic Boltzmann learning in networks with asymmetric connectivity,,"Galland, Conrad C and Hinton, Georey E",3--9,1991,,article,,Connectionist Models: Proceedings of the 1990 Summer School,,
1404,Computation by neural networks,,"Hinton, Geoffrey E",1170--1170,2000,,article,Nature Publishing Group,nature neuroscience,,3
1405,Using mixtures of deformable models to capture variations in hand printed digits,,"Revow, Michael and Williams, Christopher KI and Hinton, Geoffrey E",,1993,,article,Citeseer,,,
1406,Vocal tract length perturbation (VTLP) improves speech recognition,,"Jaitly, Navdeep and Hinton, Geoffrey E",,2013,,article,,"Proc. ICML Workshop on Deep Learning for Audio, Speech and Language",,
1407,Learning causally linked markov random fields,,"Hinton, Geoffrey E and Osindero, Simon and Bao, Kejie",128--135,2005,,article,,Proceedings of the 10th International Workshop on Artificial Intelligence and Statistics,,
1408,"K., Lang, K., D.(1989). Phoneme recognition using time-delay neural networks",,"Waibel, A and Toshiyuki, H and Hinton, G Shikano",993--1009,,,article,,"IEEE Transactions on Acoustics, Speech, and Signal Processing",,23
1409,Multiple relational embedding,Advances in neural information processing systems,"Memisevic, Roland and Hinton, Geoffrey E",913--920,2004,,inproceedings,,,,
1410,TRAFFIC: A model of object recognition based on transformations of feature instances,,"Zemel, RS and Mozer, MC and Hinton, GE",,1988,,article,,"Proceedings of the 1988 Connectionist Summer School, Morgan Kauffman: Los Altos, CA",,
1411,Technical Report CRG-TR-96-2,,"Ghahramani, Z and Hinton, GE",,1996,,article,,"Department of Computer Science, University of Toronto",,
1412,Tensor analyzers,Proceedings of The 30th International Conference on Machine Learning,"Tang, Yichuan and Salakhutdinov, Ruslan and Hinton, Geoffrey",163--171,2013,,inproceedings,,,,
1413,Spiking boltzmann machines,,"Hinton, Geoffrey E and Brown, Andrew",122,2000,,article,The MIT Press,Advances in neural information processing systems 12: proceedings of the 1999 conference,,12
1414,TRAFFIC: Recognizing objects using hierarchical reference frame transformations,Advances in neural information processing systems,"Zemel, Richard S and Mozer, Michael C and Hinton, Geoffrey E",266--273,1990,,inproceedings,,,,
1415,Using free energies to represent Q-values in a multiagent reinforcement learning task,NIPS,"Sallans, Brian and Hinton, Geoffrey E",1075--1081,2000,,inproceedings,,,,
1416,Une nouvelle approche de la cognition: le connexionnisme,,"McClelland, JL and Rumelhart, DE and Hinton, GE",45--64,1987,,article,Gallimard,Le D{\'e}bat,5,47
1417,Analysis-by-synthesis by learning to invert generative black boxes,Artificial Neural Networks-ICANN 2008,"Nair, Vinod and Susskind, Josh and Hinton, Geoffrey E",971--981,2008,,incollection,Springer Berlin Heidelberg,,,
1418,Using pairs of data-points to define splits for decision trees,Advances in Neural Information Processing Systems,"Hinton, Geoffrey E and Revow, Michael",,1996,,inproceedings,,,,
1419,SMEM algorithm for mixture models,,"Naonori, Ueda and Ryohei, Nakano and Ghahramani, Z and Hinton, GE",2109--2128,2000,,article,,Neural Computation,9,12
1420,Respectively Reconsidered,,"Hinton, G",912--914,1978,,article,,Pragmatics Microfiche,,3
1421,Deep Belief Networks,,"Salakhutdinov, Ruslan and Hinton, GE",,2007,,article,,,,
1422,E cient stochastic source coding and an application to a Bayesian network source model,,"Frey, Brendan J and Hinton, GE",,1997,,article,,Computer Journal,,
1423,"Copyright{\copyright} 2006 Cognitive Science Society, Inc. All rights reserved.",,"Abbot-Smith, K and Atran, S and Aveyard, M and Behrens, H and Benus, S and Blomert, L and Bosse, T and Cagan, J and Cangelosi, A and Connell, L and others",1127,2006,,article,,Cognitive Science,,30
1424,Combining two methods of recognizing hand-printed digits,,"Hinton, G and Williams, C and Revow, M",53--60,1992,,article,,Art. Neural Systems,,2
1425,A Simple Way to Initialize Recurrent Networks of Rectified Linear Units,,"Le, Quoc V and Jaitly, Navdeep and Hinton, Geoffrey E",,2015,,article,,arXiv preprint arXiv:1504.00941,,
1426,Models of human inference,,"Hinton, Geoffrey E",189--190,1987,,article,Wiley Online Library,Computational intelligence,1,3
1427,Deep Generative Models for Modeling Animate Motion,,"Taylor, Graham W and Hinton, Geoffrey E and Roweis, Sam",,2008,,article,,Proc. 4th Int. Symp. Adaptive Motion of Animals and Machines,,
1428,Efficient Parametric Projection Pursuit Density Estimation,,"Geoffrey, Max Welling Richard S Zemel and Hinton, E",,,,article,,,,
1429,Training many small hidden markov models,"WISP-2001 Workshop on Innovation in Speech Processing, Proc. Institute of Acoustics, Part 3","Hinton, GE and Brown, AD",,2001,The Institute of Acoustics,inproceedings,,,,
1430,Parallel distributed processing. Vol. 1,,"Hinton, GE and Sejnowski, TJ",,1986,,book,"Cambridge, MA: MIT Press",,,
1431,Variational Learning for Switching State-Space Models,,"Hinton, Geoffrey E",315,2001,,article,MIT Press,Graphical Models: Foundations of Neural Computation,,
1432,Dimensionality Reduction,,"Hinton, Geoffrey",,2015,,article,,,,
1433,"R.]. Williams, 1986. Learning internal representations by error propagation, Parallel Distributed Processing—Explorations in the Microstructure of Cognition, Vol. 1 (DE. Rumelhart,]. L. McClelland, and PDP Research Group, editors)",,"Rumelhart, DE and Hinton, GE",,,,book,"The MIT Press, Massachusetts",,,
1434,Generative multiple-instance learning models for quantitative electromyography,,"Adel, Tameem and Smith, Benn and Urner, Ruth and Stashuk, Daniel and Lizotte, Daniel J",,2013,,article,,arXiv preprint arXiv:1309.6811,,
1435,Guest Editorial: Deep Learning,,"Hinton, Geoffrey and LeCun, Yann and others",1--2,2015,,article,Springer US,International Journal of Computer Vision,1,113
1436,DELVE team members (1995). Assessing learning procedures using DELVE,,"Hinton, G and Neal, R and Tibshirani, R",,,,techreport,,,,
1437,System and method for labelling aerial images,,"Mnih, Volodymyr and Hinton, Geoffrey E",,2013,,misc,,,,
1438,Using an autoencoder with deformable templates to discover features for automated speech recognition.,INTERSPEECH,"Jaitly, Navdeep and Hinton, Geoffrey E",1737--1740,2013,,inproceedings,,,,
1439,Fast neural network emulation of dynamical systems for computer animation,Advances in neural information processing systems,"Grzeszczuk, Radek and Terzopoulos, Demetri and Hinton, Geoffrey E",882--888,1999,,inproceedings,,,,
1440,Models of schemata and sequential thought processes,,"Rumelhart, DE and Smolensky, P and McClelland, JL and Hinton, GE",,1986,,article,,Parallel Distributed Processing: Explorations in the microstructure of cognition,,2
1441,Hand-printed digit recognition using deformable models,,"Williams, Christopher KI and Hinton, Geoffrey E",127,1993,,article,Cambridge University Press,Spatial Vision in Humans and Robots: The Proceedings of the 1991 York Conference on Spatial Vision in Humans and Robots,,
1442,"Department of Computer Science University of Toronto Toronto, Ontario, M5S 1A4, Canada hinton@ cs. toronto. edu, zoubin@ cs. toronto. edu",,"Hinton, Georey E and Ghahramani, Zoubin",,1997,,article,,,,
1443,Minimizing description length in an unsupervised neural network,,"Hinton, Geoffrey E and Zemel, Richard S",,1997,,article,Citeseer,Preprint,,
1444,Using neural networks to learn intractable generative models,,"HINTON, GE and Dayan, P and NEAL, RM and ZEMEL, RS",,1994,,article,AMER STATISTICAL ASSOC,,,
1445,System and method for addressing overfitting in a neural network,,"Hinton, Geoffrey E and Krizhevsky, Alexander and Sutskever, Ilya and Srivastva, Nitish",,2013,,misc,,,,
1446,A distributed connectionist production system,,"Hinton, GE and Touretzky, DS",,1988,,article,,Cognitive science,3,12
1447,Wormholes Improve Contrastive Divergence,Advances in Neural Information Processing Systems,"Welling, Max and Mnih, Andriy and Hinton, Geoffrey E",,2003,,inproceedings,,,,
1448,El atractivo del procesamiento distribuido en paralelo,,"McClelland, JL and Rumelhart, DE and Hinton, GE",,1992,,article,,Introducci{\'o}n al procesamiento distribuido en paralelo,,
1449,Deterministic Boltzmann Learning in Networks with Asymmetric Connectivity,,"Hinton, Geoffrey E",3,2014,,article,Morgan Kaufmann,Connectionist Models: Proceedings of the 1990 Summer School,,
1450,"Wfll] ams, KJ: Learning internal representations by error propagation",,"Rumelhart, DE and Hinton, GE",,,,article,,Parallel Distributed Processing,,1
1451,"Delve data for evaluating learning in valid experiments, 1995--1996",,"Rasmussen, CE and Neal, RM and Hinton, G and van Camp, D and Revow, M and Ghahramani, Z and Kustra, R and Tibshirani, R",,,,article,,URL http://www. cs. toronto. edu/~ delve,,
1452,Learning internal representations by error propagation. 1985,,"Rumelhart, DE and Hinton, GE and Williams, RJ",,,,article,,DTIC Document,,
1453,Using matrices to model symbolic relationship,Advances in Neural Information Processing Systems,"Sutskever, Ilya and Hinton, Geoffrey E",1593--1600,2009,,inproceedings,,,,
1454,Learning to make coherent predictions in domains with discontinuities,Advances in Neural Information Processing Systems,"Becker, Suzanna and Hinton, Geoffrey E",372--379,1992,,inproceedings,,,,
1455,Workshop summary: Workshop on learning feature hierarchies,Proceedings of the 26th Annual International Conference on Machine Learning,"Yu, Kay and Salakhutdinov, Ruslan and LeCun, Yann and Hinton, Geoff and Bengio, Yoshua",5,2009,ACM,inproceedings,,,,
1456,Proceedings of the 1988 Connectionist Models Summer School,,"Touretzky, David S and Hinton, Geoffrey E and Sejnowski, Terrence Joseph",,1989,,book,Morgan Kaufmann,,,
1457,Neural network architectures for artificial intelligence,,"Hinton, Geoffrey E",,1988,,article,American Association for Artificial Intelligence,,,
1458,ins.''Learning internal representations by error propagation,,"Rumelhalt, DE and Hinton, GE and Willia, RJ",,,,article,,Parallel Distributed Processing: Explorations in the Microstructure of,,
1459,Learning Distributed Representations by Mapping Concepts and Relations into a Linear Space.,ICML,"Paccanaro, Alberto and Hinton, Geoffrey E",711--718,2000,,inproceedings,,,,
1460,Using a neural net to instantiate a deformable model,Advances in neural information processing systems,"Williams, Christopher KI and Revow, Michael and Hinton, Geoffrey E",965--972,1995,,inproceedings,,,,
1461,Neural networks for computer-human interfaces: Glove-TalkII,,"Fels, S Sidney and Hinton, G",1299--1304,1996,,article,Citeseer,Proceedings of the International Conference on Neural Information Processing (ICONIP96),,
1462,"Acharya, A., see Chakrabarti, PP. Adam, A. and J.-P Laurent, LAURA, a system to debug stu-dent programs Adcock, J., see Char\&k, E. Addanki, S., R. Cremonini and JS Penberthy, Graphs of mod",,"Adelson-Velskiy, GM and Arlazarov, VL and Donskoy, MV and Elman, Terence Sejnowski and Hinton, Geoffrey",229--299,1997,,article,,Artificial Intelligence,,96
1463,The unity of consciousness: A connectionist account,,"Hinton, Geoffrey E",245,1991,,article,Psychology Press,"Memories, Thoughts, and Emotions: Essays in Honor of George Mandler",,
1464,15 Learning to Use Spike Timing in a Restricted,,"Machine, Boltzmann and Hinton, Geoffrey E and Brown, Andrew D",285,2002,,article,MIT Press,Probabilistic Models of the Brain: Perception and Neural Function,,
1465,Pattern matching and variable binding in a stochastic neural network,Genetic Algorithms and  Simulated Annealing,"Touretzky, David S and Hinton, Geoffrey E",155--169,1987,,incollection,"Pitman, London",,,
1466,System and method for parallelizing convolutional neural networks,,"Krizhevsky, Alexander and Sutskever, Ilya and Hinton, Geoffrey E",,2013,,misc,,,,
1467,Machine learning for neuroscience,,"Hinton, Geoffrey E",12,2011,,article,,Neural Syst. Circuits,1,1
1468,Cascaded redundancy reduction,,"De Sa, Virginia R and Hinton, Geoffrey E",73--84,1998,,article,Informa UK Ltd UK,Network: Computation in Neural Systems,1,9
1469,"{\textordfeminine}Learning Internal Representation by Error Propagation, {\textordmasculine} Parallel Distributed Processing",,"Rumelhart, DE and Hinton, GE and Williams, R",283--317,1986,,article,,"DE Rumelhart, JL McClelland, and the PDP Research Group, eds",,1
1470,"gParallel Distributed Proce ssing Vol. 1, 2• h",,"Rumelhart, DE and McClelland, JL and PDP Group and others",,1986,,book,MIT Press,,,
1471,Updated Edition,,"Hinton, Geoffrey E",1,2014,,article,Psychology Press,Parallel Models of Associative Memory: Updated Edition,,
1472,Relative Density Nets: A New Way to Combine Backpropagation with HMM's,Advances in Neural Information Processing Systems,"Brown, Andrew D and Hinton, Geoffrey E",1149--1156,2001,,inproceedings,,,,
1473,Modelling the statistics of natural images with topographic product of student-t models,,"Osindero, Simon and Welling, Max and Hinton, Geoffrey E",,2006,,article,Citeseer,Neural Computation,2,18
1474,Probabilistic sequential independent components analysis,,"Welling, Max and Zemel, Richard S and Hinton, Geoffrey E",838--849,2004,,article,IEEE,"Neural Networks, IEEE Transactions on",4,15
1475,Learning fast neural network emulators for physics-based models,ACM SIGGRAPH 97 Visual Proceedings: The art and interdisciplinary programs of SIGGRAPH'97,"Grzezczuk, Radek and Terzopoulos, Demetri and Hinton, Geoffrey",167,1997,ACM,inproceedings,,,,
1476,Modeling High-Dimensional Data by Combining Simple Experts,AAAI/IAAI,"Hinton, Geoffrey E",1159--1164,2000,,inproceedings,,,,
1477,Reducing the Dimensionality of Data with Neural Networks.(28 July 2006),,"Hinton, GE and Salakhutdinov, RR",504,,,article,,Science,5786,313
1478,Learning representations by back-propagating errors (from Nature 1986),,"Rumelhart, DE and Hinton, GE and Williams, RJ",138--138,1994,,article,SPIE-THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING,Spie Milestone Series Ms,,96
1479,time (min.),,"Rumelhart, DE and Hinton, GE and Williams, RJ",111,2014,,article,Elsevier,Advanced Control of Chemical Processes 1994,,45
1480,Nonlinear Dimensionality Reduction using Neural Networks,,"Salakhutdinov, Ruslan",1000,2000,,article,,RBM,,2
1481,Using mixtures of factor analyzers for segmentation and pose estimation,,"Hinton, Geoffrey E and Revow, Michael",,1998,,book,Unpublished,,,
1482,Learning distributed representations of relational data using linear relational embedding,Neural Nets WIRN Vietri-01,"Paccanaro, Alberto and Hinton, Geoffrey E",134--143,2002,,incollection,Springer London,,,
1483,Modeling Semantic Similarities in Multiple Maps,,"van der Maaten, Laurens and Hinton, Geoffrey",,2009,,article,,,,
1484,"Williams ILl, 1986b. Learning internal representations by error propagation",,"Rumelhart, DE and Hinton, GE",318--362,,,article,,"Parallel Distributed Processing: Exploration in the Microstrueture of Cognition. MIT Press, Cambridge, MA",,
1485,Phoneme recognition with a neural network: comparisons of acoustic representations including those produced by an auditory model,,"Treurniet, WC and Hunt, MJ and Lefebvre, C and Jacobson, Z",320,1988,,article,Pergamon,Neural Networks,,1
1486,Learning nonlinear constraints with contrastive backpropagation,"Neural Networks, 2005. IJCNN'05. Proceedings. 2005 IEEE International Joint Conference on","Mnih, Andriy and Hinton, Geoffrey",1302--1307,2005,IEEE,inproceedings,,,,2
1487,Scaling in a hierarchical unsupervised network,"Artificial Neural Networks, 1999. ICANN 99. Ninth International Conference on (Conf. Publ. No. 470)","Ghahramani, Zoubin and Korenberg, Alexander T and Hinton, Geoffrey E",13--18,1999,IET,inproceedings,,,,1
1488,SCENE-BASED AND VIEWER-CENTERED REPRESENTATIONS FOR COMPARING SHAPE,BULLETIN OF THE PSYCHONOMIC SOCIETY,"Parsons, LM and HINTON, GE",510--510,1988,"PSYCHONOMIC SOC INC 1710 FORTVIEW RD, AUSTIN, TX 78704",inproceedings,,,6,26
1489,"DC n, A. Kyker, and P. Roussel. The microarchitecture of the pentium 4 processor",,"Hinton, G and Sager, D and Upton, M and Boggs, D",2001,2001,,article,,Intel Technical Journal Q,,1
1490,A comparison of classification methods for longitudinal fmri studies,,"Schmah, T and Yourganov, G and Zemel, RS and Hinton, GE and Small, SL and Strother, S",S57,2009,,article,Academic Press,Neuroimage,,47
1491,A new way to learn acoustic events,,"Jaitly, Navdeep and Hinton, Geoffrey E",,2011,,article,,Advances in Neural Information Processing Systems,,24
1492,"8: McClel1and, JL (I986). A general framework for parallel distributed processing",,"Rumelhart, DE and Hinton, GE",,,,article,,Parallel distributed processing: Explorations in the microstructure of cognition,,50
1493,How to do backpropagation in a brain,,"Hinton, Geoffrey",,2007,,article,,Invited talk at the NIPS’2007 Deep Learning Workshop,,
1494,15 Learning to Use Spike Timing in a Restricted Boltzmann Machine,,"Hinton, Geoffrey E and Brown, Andrew D",285,2002,,article,,Probabilistic Models of the Brain,,
1495,Parallel stochastic search in early vision,,"Sejnowski, Terrence J and Hinton, Geoffrey E",,1984,,book,Johns Hopkins University. Electrical Engineering and Computer Science Department,,,
1496,"Theoretical psychology, artificial intelligence, and empirical research.",,"Kukla, Andre",,1990,,article,American Psychological Association,,,
1497,Pattern classification using a mixture of factor analyzers,"Neural Networks for Signal Processing IX, 1999. Proceedings of the 1999 IEEE Signal Processing Society Workshop.","Ueda, Naonori and Nakano, Ryohei and Ghahramani, Zoubin and Hinton, Geoffrey",525--534,1999,IEEE,inproceedings,,,,
1498,Embedding via clustering: Using spectral information to guide dimensionality reduction,"Neural Networks, 2005. IJCNN'05. Proceedings. 2005 IEEE International Joint Conference on","Memisevic, Roland and Hinton, Geoffrey",3198--3203,2005,IEEE,inproceedings,,,,5
1499,Advances in neural information processing systems,,"Linster, C and Marsan, D and Masson, C and Kerszberg, M",,1994,,book,"San Francisco, CA: Morgan Kaufmann",,,
1500,The horizontal-vertical delusion,,"Hinton, Geoffrey E",677--680,1987,,article,Pion,Perception,5,16
1501,Improving a statistical language model by modulating the effects of context words.,ESANN,"Yuecheng, Zhang and Mnih, Andriy and Hinton, Geoffrey E",493--498,2008,,inproceedings,,,,
1502,"Ch8: Learning Internal Representations by Error Propagation, Parallel Distributed Processing: Explorations in the Microstructure of Cognition Vol. 1 Foundations",,"Rumelhart, DE and Hinton, GE and Williams, RJ",,1995,,book,The MIT Press pp318-362,,,
1503,MarkJohnson 1980 Metaphors We Live By,,"Lakoff, George",,81,,article,,Chicago: University of ChicagoPress. LakoffMetaphors We Live by1980,,
1504,Miniature language acquisition: A touchstone for cognitive science,,"Feldman, Jerome A and Lakoff, George and Stolcke, Andreas and Weber, Susan Hollbach and others",,1990,,book,Citeseer,,,
1505,The framing of immigration,,"Lakoff, George and Ferguson, Sam and others",,2015,,article,,,,
1506,The cognitive model of anger inherent in American English,,"Lakoff, George and K{\""o}vecses, Zolt{\'a}n",195--221,1987,,article,,Cultural models in language and thought,,
1507,Categories: An essay in cognitive linguistics,,"Lakoff, George",139--193,1982,,article,Hanshin Seoul,Linguistics in the morning calm,,
1508,Moral politics: How liberals and conservatives think,,"Lakoff, George",,2010,,book,University of Chicago Press,,,
1509,A note on vagueness and ambiguity,,"Lakoff, George",357--359,1970,,article,The MIT Press,Linguistic inquiry,3,1
1510,Exotic Readings of Cultural Texts [and Comments and Reply],,"Keesing, Roger M and Davis, Richard D and De Ruijter, Arie and Fernandez, JW and Fishman, Joshua A and Guidieri, Remo and Lakoff, George and Mundhenk, Norm and Newman, Paul and Shaw, R Daniel",459--479,1989,,article,University of Chicago Press,Current Anthropology,,
1511,Presupposition and relative well-formedness,,"Lakoff, George",329--340,1971,,article,Cambridge University Press,"Semantics: An interdisciplinary reader in philosophy, linguistics, and psychology",,
1512,"Repartee, or a reply to'Negation, conjunction and quantifiers'",,"Lakoff, George",389--422,1970,,article,D. Reidel Publishing Company,Foundations of Language,,
1513,Frame semantic control of the coordinate stucture constraint,,"Lakoff, George",,1986,,book,"Cognitive Science Program, Institute of Cognitive Studies, University of California at Berkeley",,,
1514,The All New Don't Think of an Elephant!: Know Your Values and Frame the Debate,,"Lakoff, George",,2014,,book,Chelsea Green Publishing,,,
1515,Stative adjectives and verbs in English,,"Lakoff, George",,1966,,article,,,,
1516,"Sorry, I’m not myself today: The metaphor system for conceptualizing the self",,"Lakoff, George",91--123,1996,,article,Chicago: University of Chicago Press,"Spaces, worlds, and grammar",,
1517,The political mind,,"Lakoff, George and Barsamian, David",,2008,,book,Alternative Radio,,,
1518,Taking: A study in lexical network theory,,"Norvig, Peter and Lakoff, George",,2011,,article,,Annual Meeting of the Berkeley Linguistics Society,,13
1519,A figure of thought,,"Lakoff, George",215--225,1986,,article,"Lawrence Erlbaum Associates, Inc.",Metaphor and symbol,3,1
1520,The brain's concepts: The role of the sensory-motor system in conceptual knowledge,,"Gallese†, Vittorio and Lakoff, George",455--479,2005,,article,Psychology Press,Cognitive neuropsychology,04-Mar,22
1521,Met{\'a}foras de la vida cotidiana,,"Lakoff, George and Narotzky, Susana and Mill{\'a}n, Jos{\'e} Antonio and Johnson, Mark",,1986,,article,,,,
1522,Modeling embodied lexical development,,"Bailey, David and Feldman, Jerome and Narayanan, Srini and Lakoff, George",19--24,1997,,article,,Proceedings of the 19th cognitive science society conference,,
1523,Telling the American story: A structural and cultural analysis of conversational storytelling,,"Polanyi, Livia",,1985,,book,Ablex Publishing Corporation,,,
1524,Cognitive semantics,,"Lakoff, George",154,1988,,article,Bloomington: Indiana University Press,Meaning and mental representations,,119
1525,Why it matters how we frame the environment,,"Lakoff, George",70--81,2010,,article,Taylor \& Francis,Environmental Communication,1,4
1526,Image schemas: From linguistic analysis to neural grounding,,"Dodge, Ellen and Lakoff, George and Hampe, B",57--91,2005,,article,Walter de Gruyter Berlin,From perception to meaning: image schemas in cognitive linguistics,,
1527,Metafora e vita quotidiana,,"Lakoff, George and Johnson, Mark and Violi, Patrizia",,2012,,book,Bompiani,,,
1528,Metaphors of terror,,"Lakoff, George",2005,2001,,article,,Retrieved November,,5
1529,Why cognitive linguistics requires embodied realism,,"Johnson, Mark and Lakoff, George and others",245--264,2002,,article,"MOUTON DE GRUYTER GENTHINER STRASSE 13, 10785 BERLIN, GERMANY",Cognitive linguistics,3,13
1530,"Women, fire, and dangerous things: What categories reveal about the mind",,"Lakoff, George",,1990,,book,University of Chicago press Chicago,,,
1531,Pragmatics in natural logic,,"Lakoff, George",,1974,,book,Bundesmin. f. Wiss. und Forschung,,,
1532,Syntactic amalgams,,"Lakoff, George",,1974,,article,,Papers from the Tenth Regional Meeting. Chicago: Chicago Linguistic Society,,
1533,Phrasal conjunction and symmetric predicates,,"Lakoff, George and Peters, Stanley",113--142,1969,,article,113J142. Englewood Cliffs: Prentice Hall,Modern studies in English,,
1534,The metaphorical structure of mathematics: Sketching out cognitive foundations for a mind-based mathematics.,,"Lakoff, George and N{\'u}nez, Rafael E",,1997,,article,Lawrence Erlbaum Associates Publishers,,,
1535,Philosophy in the flesh: The embodied mind and its challenge to western thought,,"Lakoff, George and Johnson, Mark",,1999,,book,Basic books,,,
1536,On derivational constraints,,"Lakoff, George",39,1969,,article,,"5th Regional Meeting, Chicago Linguistic Society",,117
1537,Conceptual metaphor in everyday language,,"Lakoff, George and Johnson, Mark",453--486,1980,,article,"The Journal of Philosophy, Inc.",The journal of Philosophy,,
1538,The contemporary theory of metaphor,,"Lakoff, George and others",202--251,1993,,article,Cambridge,Metaphor and thought,,2
1539,"Women, fire, and dangerous things",,"Lako, George",,1987,,article,,"U-niversity of Chicago Press, Chicago",,
1540,Metaphors we live by,,"Johnson, Mark and Lakoff, George",,1997,,article,Division of Educational Informatics,,,
1541,Metaphors we live by,,"Lakoff, George and Johnson, Mark",,2008,,book,University of Chicago press,,,
1542,More than cool reason: A field guide to poetic metaphor,,"Turner, Mark and Lakoff, George",,1989,,book,Chicago: University of Chicago Press,,,
1543,What is a conceptual system,,"Lakoff, George",41--90,1994,,article,"Erlbaum Hillsdale, NJ",The nature and ontogenesis of meaning,,
1544,Structural complexity in fairy tales,,"Lakoff, George",,1972,,article,,The study of man,,
1545,Conversational postulates,,"Gordon, David and Lakoff, George",,1971,,book,University of Michigan,,,
1546,Pronouns and reference,,"Lakoff, George",,1968,,book,Indiana University Linguistics Club,,,
1547,Thinking points: Communicating our American values and vision,,"Lakoff, George",,2006,,book,Macmillan,,,
1548,The role of deduction in grammar,,"Lakoff, George",,1971,,article,,,,
1549,Metafory w naszym {\.z}yciu,,"Lakoff, George and Johnson, Mark and Krzeszowski, Tomasz",,1988,,book,Pa{\'n}stwowy instytut wydawniczy,,,
1550,No pienses en un elefante: lenguaje y debate pol{\'\i}tico,,"Lakoff, George",,2007,,book,Editorial complutense,,,
1551,How metaphor structures dreams: The theory of conceptual metaphor applied to dream analysis.,,"Lakoff, George",77,1993,,article,"Human Sciences Press, Inc.",Dreaming,2,3
1552,Leben in Metaphern: Konstruktion und Gebrauch von Sprachbildern,,"Lakoff, George and Johnson, Mark",,1998,,book,"Carl-Auer-Systeme, Verlag und Verlag-Buchh.",,,
1553,Johnson. M.(1980),,"Lakoff, GyJOHNSON",,86,,article,,Metaphors we live by,,
1554,Instrumental adverbs and the concept of deep structure,,"Lakoff, George",4--29,1968,,article,D. Reidel Publishing Company,Foundations of language,,
1555,Cognitive phonology,,"Lakoff, George",117--145,1993,,article,,The last phonological rule,,
1556,"Metaphor and war, again",,"Lakoff, George",2006,2003,,article,,URL: http://www. alternet. org/story/15414. Accessed October,,20
1557,Global rules,,"Lakoff, George",627--639,1970,,article,JSTOR,Language,,
1558,Irregularity in syntax,,"Lakoff, George",,1970,,book,"Holt, Rinehart, and Winston",,,
1559,Cognitive models and prototype theory,,"Lakoff, George",391--421,1999,,article,MIT Press,Concepts: Core Readings,,
1560,Moral politics: What conservatives know that liberals don't,,"Lakoff, George",,1997,,article,,,,
1561,Hedges: a study in meaning criteria and the logic of fuzzy concepts,contemporary Research in Philosophical Logic and Linguistic semantics,"Lakoff, George",221--271,1975,,incollection,Springer Netherlands,,,
1562,L0-the first five years of an automated language acquisition project,,"Feldman, Jerome and Lakoff, George and Bailey, David and Narayanan, Srini and Regier, Terry and Stolcke, Andreas",103--129,1996,,article,Kluwer Academic Publishers,Artificial Intelligence Review,02-Jan,10
1563,On the nature of syntactic irregularity.,,"Lakoff, George",,1965,,article,"Clearinghouse for Federal Scientific and Technical Information, Springfield, Va. 22151 (PB-169252, MF $0.65, HC $3.00).",,,
1564,The meanings of literal,,"Lakoff, George",291--296,1986,,article,Taylor \& Francis,Metaphor and Symbol,4,1
1565,Metaphor and war: The metaphor system used to justify war in the Gulf,,"Lakoff, George",25--32,1991,,article,The Canadian Journal of Peace Studies,Peace Research,,
1566,The neural theory of metaphor,,"Lakoff, George",,2009,,article,,Available at SSRN 1437794,,
1567,The global nature of the nuclear stress rule,,"Lakoff, George",285--303,1972,,article,JSTOR,Language,,
