ID,publisher,isbn,title,series,author,year,ENTRYTYPE,journal,number,volume,link,pages,booktitle,crossref
1898,,,Property,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_678,812,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1899,,,Filtering Surveillance Image Streams by Interactive Machine Learning,,"Cristina Versino and
Paolo Lombardi",2011,incollection,,,,http://dx.doi.org/10.1007/978-3-642-19551-8_10,289--325,"Multimedia Analysis, Processing and Communications",DBLP:series/sci/2011-346
1900,,,"Classification in conservation biology: {A} comparison of five machine-learning
methods",,"Christian Kampichler and
Ralf Wieland and
Sophie Calm{\'{e}} and
Holger Weissenberger and
Stefan Arriaga{-}Weiss",2010,article,Ecological Informatics,6,5,http://dx.doi.org/10.1016/j.ecoinf.2010.06.003,441--450,,
1901,,,Propositional Logic,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_679,812,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1902,,,"Adaptive partitioning schemes for bipartite ranking - How to grow
and prune a ranking tree",,"St{\'{e}}phan Cl{\'{e}}men{\c{c}}on and
Marine Depecker and
Nicolas Vayatis",2011,article,Machine Learning,1,83,http://dx.doi.org/10.1007/s10994-010-5190-y,31--69,,
1903,,,"Computational Aspects of Chemical Data Assimilation into Atmospheric
Models",,"Gregory R. Carmichael and
Dacian N. Daescu and
Adrian Sandu and
Tianfeng Chai",2003,inproceedings,,,,http://dx.doi.org/10.1007/3-540-44864-0_28,269--278,"Computational Science - {ICCS} 2003, International Conference, Melbourne, Australia and St. Petersburg, Russia, June 2-4, 2003. Proceedings, Part {IV}",DBLP:conf/iccS/2003-4
1904,,,"Draft specification for revised version of the Standard Molecular
Data {(SMD)} Format",,John M. Barnard,1990,article,Journal of Chemical Information and Computer Sciences,1,30,http://dx.doi.org/10.1021/ci00065a018,81--96,,
1905,,,"A conceptual framework for incorporating cognitive principles into
geographical database representation",,"Jeremy L. Mennis and
Donna Peuquet and
Liujian Qian",2000,article,International Journal of Geographical Information Science,6,14,http://dx.doi.org/10.1080/136588100415710,501--520,,
1906,,,A Data-Parallel Programming Library for Education {(DAPPLE)},,David Kotz,1995,article,Computer Science Education,2,6,http://dx.doi.org/10.1080/0899340950060203,141--159,,
1907,,,Genomic profiling by machine learning,,"Zhiping Zhang and
Honghuang Lin",2011,inproceedings,,,,http://dx.doi.org/10.1109/BIBMW.2011.6112449,662--668,"2011 {IEEE} International Conference on Bioinformatics and Biomedicine
Workshops (BIBMW), Atlanta, GA, USA, November 12-15, 2011",DBLP:conf/bibm/2011w
1908,,,"Machine Lifelong Learning: Challenges and Benefits for Artificial
General Intelligence",,Daniel L. Silver,2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-22887-2_45,370--375,"Artificial General Intelligence - 4th International Conference, {AGI}
2011, Mountain View, CA, USA, August 3-6, 2011. Proceedings",DBLP:conf/agi/2011
1909,,,"Machine learning based prediction for peptide drift times in ion mobility
spectrometry",,"Anuj R. Shah and
Khushbu Agarwal and
Erin S. Baker and
Mudita Singhal and
Anoop M. Mayampurath and
Yehia M. Ibrahim and
Lars J. Kangas and
Matthew E. Monroe and
Rui Zhao and
Mikhail E. Belov and
Gordon A. Anderson and
Richard D. Smith",2010,article,Bioinformatics,13,26,http://dx.doi.org/10.1093/bioinformatics/btq245,1601--1607,,
1910,,,Programming by Example,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_674,805,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1911,,,Sublinear Optimization for Machine Learning,,"Kenneth L. Clarkson and
Elad Hazan and
David P. Woodruff",2010,inproceedings,,,,http://dx.doi.org/10.1109/FOCS.2010.50,449--457,"51th Annual {IEEE} Symposium on Foundations of Computer Science, {FOCS}
2010, October 23-26, 2010, Las Vegas, Nevada, {USA}",DBLP:conf/focs/2010
1912,,,Probably Approximately Correct Learning,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_670,805,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1913,,,Process-Based Modeling,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_671,805,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1914,,,Improving social science data and statistical services through assessment,,"Joel Herndon and
Alexandra Cooper",2005,inproceedings,,,,http://www.iassistdata.org/conferences/2005/presentation/2548,,"{IASSIST} 2005 - Evidence and Enlightenment, Edinburgh, Scotland, UK, May 24-27, 2005",DBLP:conf/iassist/2005
1915,,,Historical data as an explicit component of land information systems,,Ric Vrana,1989,article,International Journal of Geographical Information Science,1,3,http://dx.doi.org/10.1080/02693798908941494,33--49,,
1916,,,Divide-and-conquer and statistical inference for big data,,Michael I. Jordan,2012,inproceedings,,,,http://doi.acm.org/10.1145/2339530.2339534,4,"The 18th {ACM} {SIGKDD} International Conference on Knowledge Discovery
and Data Mining, {KDD} '12, Beijing, China, August 12-16, 2012",DBLP:conf/kdd/2012
1917,,,Concurrent reading and writing with replicated data objects,,"Ifen Yang and
William Moloney",1988,inproceedings,,,,http://doi.acm.org/10.1145/322609.322786,414--417,"Proceedings of the Sixteenth {ACM} Annual Conference on Computer Science, Atlanta, Georgia, USA, February 23-25, 1988",DBLP:conf/acm/1988
1918,,,"Optimal allocation of programs and data in distributed systems (abstract
only)",,Amjad Umar,1985,inproceedings,,,,http://doi.acm.org/10.1145/320599.322540,428,"Proceedings of the 13th {ACM} Annual Conference on Computer Science, New Orleans, Louisiana, USA, 1985",DBLP:conf/acm/1985
1919,,,"Is It Still ""Big Data"" If It Fits In My Pocket?",,David Campbell,2011,article,PVLDB,11,4,http://www.vldb.org/pvldb/vol4/p694-campbell.pdf,694,,
1920,,,"Sagan in {TAC2010:} {A} Machine Learning Approach to {RTE} within
a Corpus",,Julio Javier Castillo,2010,inproceedings,,,,http://www.nist.gov/tac/publications/2010/participant.papers/Sagan.proceedings.pdf,,"Proceedings of the Third Text Analysis Conference, {TAC} 2010, Gaithersburg, Maryland, USA, November 15-16, 2010",DBLP:conf/tac/2010
1921,,,Prior,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_666,795,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1922,,,Integrating Life Sciences Data - With a Little Garlic,,"Laura M. Haas and
Prasad Kodali and
Julia E. Rice and
Peter M. Schwarz and
William C. Swope",2000,inproceedings,,,,http://doi.ieeecomputersociety.org/10.1109/BIBE.2000.889583,5--12,"1st {IEEE} International Symposium on Bioinformatics and Biomedical
Engineering, Arlington, Virginia, USA, November 8-10, 2000, Proceedings",DBLP:conf/bibe/2000
1923,,,Developing a Data Driven System for Computational Neuroscience,,"Ross Snider and
Yongming Zhu",2004,inproceedings,,,,http://dx.doi.org/10.1007/978-3-540-24688-6_106,822--826,"Computational Science - {ICCS} 2004, 4th International Conference, Krak{\'{o}}w, Poland, June 6-9, 2004, Proceedings, Part {III}",DBLP:conf/iccS/2004-3
1924,,,"Agent-based Spectral Analysis Automation {(SAA)} for On-board Science
Data Processing",,"Walt Truszkowski and
Sidney C. Bailin",2003,inproceedings,,,,http://www.aaai.org/Library/FLAIRS/2003/flairs03-013.php,62--66,"Proceedings of the Sixteenth International Florida Artificial Intelligence
Research Society Conference, May 12-14, 2003, St. Augustine, Florida, {USA}",DBLP:conf/flairs/2003
1925,,,"Creating and Providing Data Management Services for the Biological
and Ecological Sciences: Science Environment for Ecological Knowledge",,"Samantha Romanello and
James Beach and
Shawn Bowers and
Matthew B. Jones and
Bertram Lud{\""{a}}scher and
William Michener and
Deana Pennington and
Arcot Rajasekar and
Mark Schildhauer",2005,inproceedings,,,,,28--31,"17th International Conference on Scientific and Statistical Database
Management, {SSDBM} 2005, 27-29 June 2005, University of California, Santa Barbara, CA, USA, Proceedings",DBLP:conf/ssdbm/2005
1926,,,Prediction with Expert Advice,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_659,782,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1927,,,Data Mining Oriented System for Business Applications,,"Yukinobu Hamuro and
Naoki Katoh and
Katsutoshi Yada",1998,inproceedings,,,,http://dx.doi.org/10.1007/3-540-49292-5_61,441--442,"Discovery Science, First International Conference, {DS} '98, Fukuoka, Japan, December 14-16, 1998, Proceedings",DBLP:conf/dis/1998
1928,,,"Applying Machine Learning Diversity Metrics to Data Fusion in Information
Retrieval",,"David Leonard and
David Lillis and
Lusheng Zhang and
Fergus Toolan and
Rem W. Collier and
John Dunnion",2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-20161-5_73,695--698,"Advances in Information Retrieval - 33rd European Conference on {IR}
Research, {ECIR} 2011, Dublin, Ireland, April 18-21, 2011. Proceedings",DBLP:conf/ecir/2011
1929,,,Machine learning in fuel consumption prediction of aircraft,,Guanzhong Li,2010,inproceedings,,,,http://dx.doi.org/10.1109/COGINF.2010.5599714,358--363,"Proceedings of the 9th {IEEE} International Conference on Cognitive
Informatics, {ICCI} 2010, July 7-9, 2010, Beijing, China",DBLP:conf/IEEEicci/2010
1930,,,Predicate Logic,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_656,782,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1931,,,Euclidean Distance Based Permutation Methods in Atmospheric Science,,"Paul W. Mielke Jr. and
Kenneth J. Berry",2000,article,Data Min. Knowl. Discov.,1,4,http://dx.doi.org/10.1023/A:1009824531876,7--27,,
1932,,,"Visualization techniques for spatial probability density function
data",,"Udeepta Bordoloi and
David L. Kao and
Han{-}Wei Shen",2004,article,Data Science Journal,,3,http://dx.doi.org/10.2481/dsj.3.153,153--162,,
1933,,,"An approach to exploiting a database as a frame-like knowledge base
(abstract)",,"Wei Si Jiang and
William G. Wee",1986,inproceedings,,,,http://doi.acm.org/10.1145/324634.325099,436,"Proceedings of the 14th {ACM} Annual Conference on Computer Science, Cincinnati, Ohio, USA, 1986",DBLP:conf/acm/1986
1934,,,Link Mining and Link Discovery,,Lise Getoor,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_480,606--609,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1935,,,"Signal Cascades Analysis in Nanoprocesses with Distributed Database
System",,"Dariusz Mrozek and
Bozena Malysiak and
Jacek Fraczek and
Pawel Kasprowski",2005,inproceedings,,,,http://dx.doi.org/10.1007/11428862_46,334--341,"Computational Science - {ICCS} 2005, 5th International Conference, Atlanta, GA, USA, May 22-25, 2005, Proceedings, Part {III}",DBLP:conf/iccS/2005-3
1936,,,"Machine learning and statistical approaches to assessing gait patterns
of younger and older healthy adults climbing stairs",,"Herman Chan and
Mingjing Yang and
Huiru Zheng and
Haiying Wang and
Roy Sterritt and
Sally I. McClean",2011,inproceedings,,,,http://doi.ieeecomputersociety.org/10.1109/ICNC.2011.6022097,588--592,"Seventh International Conference on Natural Computation, {ICNC} 2011, Shanghai, China, 26-28 July, 2011",DBLP:conf/icnc/2011
1937,Springer,3-540-26295-4,"Data Management in a Connected World, Essays Dedicated to Hartmut
Wedekind on the Occasion of His 70th Birthday",Lecture Notes in Computer Science,,2005,proceedings,,,3551,,,,
1938,,,Virtual Telemetry for Dynamic Data-Driven Application Simulations,,"Craig C. Douglas and
Yalchin Efendiev and
Richard E. Ewing and
Raytcho D. Lazarov and
Martin J. Cole and
Greg Jones and
Chris R. Johnson",2003,inproceedings,,,,http://dx.doi.org/10.1007/3-540-44864-0_29,279--288,"Computational Science - {ICCS} 2003, International Conference, Melbourne, Australia and St. Petersburg, Russia, June 2-4, 2003. Proceedings, Part {IV}",DBLP:conf/iccS/2003-4
1939,,,"{REACCS} in the chemical development environment. 2. Structure and
construction of proprietary databases",,"John E. Mills and
Cynthia A. Maryanoff and
Kirk L. Sorgi and
Robin Stanzione and
Lorraine Scott and
Leonard Herring and
Julie Spink and
Barbara Baughman and
William Bullock",1988,article,Journal of Chemical Information and Computer Sciences,3,28,http://dx.doi.org/10.1021/ci00059a007,155--159,,
1940,,,"Seeing is believing: The importance of visualization in real-world
machine learning applications",,"Alfredo Vellido and
Jos{\'{e}} D. Mart{\'{\i}}n and
Fabrice Rossi and
Paulo J. G. Lisboa",2011,inproceedings,,,,https://www.elen.ucl.ac.be/Proceedings/esann/esannpdf/es2011-3.pdf,,"{ESANN} 2011, 19th European Symposium on Artificial Neural Networks, Bruges, Belgium, April 27-29, 2011, Proceedings",DBLP:conf/esann/2011
1941,,,"Virtual Gene: {A} Gene Selection Algorithm for Sample Classification
on Microarray Datasets",,"Xian Xu and
Aidong Zhang",2005,inproceedings,,,,http://dx.doi.org/10.1007/11428848_131,1038--1045,"Computational Science - {ICCS} 2005, 5th International Conference, Atlanta, GA, USA, May 22-25, 2005, Proceedings, Part {II}",DBLP:conf/iccS/2005-2
1942,,,"Spatial Data Analysis: Theory and Practice. By Robert Haining (Cambridge:
Cambridge University Press, 2003) {ISBN} 0-521-77437-3",,Roger Bivand,2004,article,International Journal of Geographical Information Science,3,18,http://dx.doi.org/10.1080/13658810310001638682,300--301,,
1943,Springer,3-540-20971-9,"Model-Checking Based Data Retrieval, An Application to Semistructured
and Temporal Data",Lecture Notes in Computer Science,Elisa Quintarelli,2004,book,,,2917,http://dx.doi.org/10.1007/b94902,,,
1944,,,Chemical literature data extraction: The CLiDE Project,,"P. Ibison and
M. Jacquot and
F. Kam and
A. G. Neville and
Richard W. Simpson and
Christian A. G. Tonnelier and
T. Venczel and
A. Peter Johnson",1993,article,Journal of Chemical Information and Computer Sciences,3,33,http://dx.doi.org/10.1021/ci00013a010,338--344,,
1945,,,"Data Quality Assurance for Thermophysical Property Databases - Applications
to the {TRC} {SOURCE} Data System",,"Qian Dong and
Xinjian Yan and
Randolph C. Wilhoit and
Xiangrong Hong and
Robert D. Chirico and
Vladimir V. Diky and
Michael Frenkel",2002,article,Journal of Chemical Information and Computer Sciences,3,42,http://dx.doi.org/10.1021/ci010118e,473--480,,
1946,,,"A Machine Learning Approach for Deformable Guide-Wire Tracking in
Fluoroscopic Sequences",,"Olivier Pauly and
Tim Hauke Heibel and
Nassir Navab",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-15711-0_43,343--350,"Medical Image Computing and Computer-Assisted Intervention - {MICCAI}
2010, 13th International Conference, Beijing, China, September 20-24, 2010, Proceedings, Part {III}",DBLP:conf/miccai/2010-3
1947,,,Rough sets Approach for Data Mining in Medicine,,"Abdel{-}Badeeh M. Salem and
Mohamed Roushdy and
Khaled Ahmed Nagaty and
Safia Abbas",2001,article,Egyptian Computer Science Journal,1,23,http://net2.shams.edu.eg/ecs/Rough.htm,,,
1948,,,"A kernel fused perceptron for the online classification of large-scale
data",,"Huijun He and
Mingmin Chi and
Wenqiang Zhang",2012,inproceedings,,,,http://doi.acm.org/10.1145/2351316.2351332,118--124,"Proceedings of the 1st International Workshop on Big Data, Streams
and Heterogeneous Source Mining: Algorithms, Systems, Programming
Models and Applications, BigMine 2012, Beijing, China, August 12, 2012",DBLP:conf/kdd/2012bigmine
1949,,,A machine learning based approach to improve sidechain optimization,,"Sabareesh Subramaniam and
Sriraam Natarajan and
Alessandro Senes",2011,inproceedings,,,,http://doi.acm.org/10.1145/2147805.2147875,478--480,"{ACM} International Conference on Bioinformatics, Computational Biology
and Biomedicine, BCB' 11, Chicago, IL, {USA} - July 31 - August 03, 2011",DBLP:conf/bcb/2011
1950,,,Hierarchical Knowledge Gradient for Sequential Sampling,,"Martijn R. K. Mes and
Warren B. Powell and
Peter I. Frazier",2011,article,Journal of Machine Learning Research,,12,http://dl.acm.org/citation.cfm?id=2078200,2931--2974,,
1951,Addison-Wesley,978-0-201-41693-0,Analysis of algorithms and data structures,International computer science series,"Lech Banachowski and
Antoni Kreczmar and
Wojciech Rytter",1991,book,,,,,,,
1952,,,Model-Based Testing Using Symbolic Animation and Machine Learning,,"Pierre{-}Christophe Bu{\'{e}} and
Fr{\'{e}}d{\'{e}}ric Dadeau and
Pierre{-}Cyrille H{\'{e}}am",2010,inproceedings,,,,http://dx.doi.org/10.1109/ICSTW.2010.43,355--360,"Third International Conference on Software Testing, Verification and
Validation, {ICST} 2010, Paris, France, April 7-9, 2010, Workshops
Proceedings",DBLP:conf/icst/2010w
1953,,,Wisdom of Crowds in the Prisoner's Dilemma Context,,"Mirsad Hadzikadic and
Min Sun",2010,incollection,,,,http://dx.doi.org/10.1007/978-3-642-05179-1_5,101--118,"Advances in Machine Learning II, Dedicated to the Memory of Professor
Ryszard S. Michalski",DBLP:series/sci/2010-263
1954,,,"The Future of Search and Discovery in Big Data Analytics: Ultrametric
Information Spaces",,"Fionn Murtagh and
Pedro Contreras",2012,article,CoRR,,abs/1202.3451,http://arxiv.org/abs/1202.3451,,,
1955,,,Helping Users Sort Faster with Adaptive Machine Learning Recommendations,,"Steven M. Drucker and
Danyel Fisher and
Sumit Basu",2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-23765-2_13,187--203,"Human-Computer Interaction - {INTERACT} 2011 - 13th {IFIP} {TC} 13
International Conference, Lisbon, Portugal, September 5-9, 2011, Proceedings, Part {III}",DBLP:conf/interact/2011-3
1956,,,Machine Learning Markets,,Amos J. Storkey,2011,inproceedings,,,,http://www.jmlr.org/proceedings/papers/v15/storkey11a/storkey11a.pdf,716--724,"Proceedings of the Fourteenth International Conference on Artificial
Intelligence and Statistics, {AISTATS} 2011, Fort Lauderdale, USA, April 11-13, 2011",DBLP:conf/aistats/2011
1957,,,A Data Model for Software Representation (Abstract),,"Wafa Khorshid and
Asad Khailany",1990,inproceedings,,,,http://doi.acm.org/10.1145/100348.100448,423,"Proceedings of the {ACM} 18th Annual Computer Science Conference on
Cooperation, {CSC} '90, Sheraton Washington Hotel, Washington, DC, USA, February 20-22, 1990",DBLP:conf/acm/1990
1958,,,"A Method of Hidden Markov Model Optimization for Use with Geophysical
Data Sets",,Robert A. Granat,2003,inproceedings,,,,http://dx.doi.org/10.1007/3-540-44863-2_88,892--901,"Computational Science - {ICCS} 2003, International Conference, Melbourne, Australia and St. Petersburg, Russia, June 2-4, 2003. Proceedings, Part {III}",DBLP:conf/iccS/2003-3
1959,,,Model-Based Control,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_555,689,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1960,Springer,3-540-60303-4,"Database and Expert Systems Applications, 6th International Conference, DEXA'95, London, United Kingdom, September 4-8, 1995, Proceedings",Lecture Notes in Computer Science,,1995,proceedings,,,978,,,,
1961,,,Efficiently mining \emph{{\(\delta\)}}-tolerance closed frequent subgraphs,,"Ichigaku Takigawa and
Hiroshi Mamitsuka",2011,article,Machine Learning,2,82,http://dx.doi.org/10.1007/s10994-010-5215-6,95--121,,
1962,,,Strategic Utilization of Data Mining,,Chandra S. Amaravadi,2005,incollection,,,,http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=14667,2638--2642,Encyclopedia of Information Science and Technology {(5} Volumes),DBLP:books/idea/Ency05
1963,,,"Using Domain Top-page Similarity Feature in Machine Learning-Based
Web Phishing Detection",,"Nuttapong Sanglerdsinlapachai and
Arnon Rungsawang",2010,inproceedings,,,,http://dx.doi.org/10.1109/WKDD.2010.108,187--190,"Third International Conference on Knowledge Discovery and Data Mining, {WKDD} 2010, Phuket, Thailand, 9-10 January 2010",DBLP:conf/wkdd/2010
1964,,,Tiny split data-caches make big performance impact for embedded applications,,"Afrin Naz and
Krishna M. Kavi and
Wentong Li and
Philip H. Sweany",2006,article,J. Embedded Computing,2,2,http://content.iospress.com/articles/journal-of-embedded-computing/jec00025,207--219,,
1965,Springer,3-540-22479-3,"Database Support for Data Mining Applications: Discovering Knowledge
with Inductive Queries",Lecture Notes in Computer Science,,2004,proceedings,,,2682,,,,
1966,,,"Handling big dimensions in distributed data warehouses using the {DWS}
technique",,"Marco Costa and
Henrique Madeira",2004,inproceedings,,,,http://doi.acm.org/10.1145/1031763.1031770,31--37,"{DOLAP} 2004, {ACM} Seventh International Workshop on Data Warehousing
and OLAP, Washington, DC, USA, November 12-13, 2004, Proceedings",DBLP:conf/dolap/2004
1967,,,Deep Belief Networks,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_209,269,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1968,,,Using Unsupervised Machine Learning Methods in High-Throughput Screening,,"Ch{\'{e}}rif Mballo and
Vladimir Makarenkov",2010,inproceedings,,,,,392--395,"Proceedings of The 2010 International Conference on Data Mining, {DMIN}
2010, July 12-15, 2010, Las Vegas, Nevada, {USA}",DBLP:conf/dmin/2010
1969,Springer,978-3-642-21737-1,"Artificial Neural Networks and Machine Learning - {ICANN} 2011 - 21st
International Conference on Artificial Neural Networks, Espoo, Finland, June 14-17, 2011, Proceedings, Part {II}",Lecture Notes in Computer Science,,2011,proceedings,,,6792,http://dx.doi.org/10.1007/978-3-642-21738-8,,,
1970,,,"Algorithmically Compressed Data and the Topological Conjecture for
the Inner-Core Electrons",,Lionello Pogliani,2002,article,Journal of Chemical Information and Computer Sciences,5,42,http://dx.doi.org/10.1021/ci020286m,1028--1042,,
1971,,,Feature Construction in Text Mining,,"Janez Brank and
Dunja Mladenic and
Marko Grobelnik",2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_303,397--401,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1972,,,"TargetSpy: a supervised machine learning approach for microRNA target
prediction",,"Martin Sturm and
Michael Hackenberg and
David Langenberger and
Dmitrij Frishman",2010,article,{BMC} Bioinformatics,,11,http://dx.doi.org/10.1186/1471-2105-11-292,292,,
1973,,,Comparing Object-Oriented and Data Flow Models - a Case Study,,"Ken Abernethy and
John C. Kelly",1992,inproceedings,,,,http://doi.acm.org/10.1145/131214.131283,541--547,"Proceedings of the {ACM} 20th Annual Conference on Computer Science, {CSC} '92, Kansas City, MO, USA, March 3-5, 1992",DBLP:conf/acm/1992
1974,,,Polytypic Functions Over Nested Datatypes,,Ralf Hinze,1999,article,Discrete Mathematics {\&} Theoretical Computer Science,4,3,http://dmtcs.loria.fr/volumes/abstracts/dm030407.abs.html,193--214,,
1975,,,Iteration Aware Prefetching for Remote Data Access,,"Philip J. Rhodes and
Sridhar Ramakrishnan",2005,inproceedings,,,,http://dx.doi.org/10.1109/E-SCIENCE.2005.55,279--286,"First International Conference on e-Science and Grid Technologies
(e-Science 2005), 5-8 December 2005, Melbourne, Australia",DBLP:conf/eScience/2005
1976,,,Artificial Neural System for Gene Classification Using a Domain Database,,"Cathy H. Wu and
George M. Whitson",1990,inproceedings,,,,http://doi.acm.org/10.1145/100348.100393,288--292,"Proceedings of the {ACM} 18th Annual Computer Science Conference on
Cooperation, {CSC} '90, Sheraton Washington Hotel, Washington, DC, USA, February 20-22, 1990",DBLP:conf/acm/1990
1977,,,"A robust self-learning {PID} control system design for nonlinear systems
using a particle swarm optimization algorithm",,"Chih{-}Min Lin and
Ming{-}Chia Li and
Ang{-}Bung Ting and
Ming{-}Hung Lin",2011,article,Int. J. Machine Learning {\&} Cybernetics,4,2,http://dx.doi.org/10.1007/s13042-011-0021-4,225--234,,
1978,,,"Earth System Science Workbench: {A} Data Management Infrastructure
for Earth Science Products",,"James Frew and
Rajendra Bose",2001,inproceedings,,,,http://dx.doi.org/10.1109/SSDM.2001.938550,180--189,"Proceedings of the 13th International Conference on Scientific and
Statistical Database Management, July 18-20, 2001, George Mason University, Fairfax, Virginia, {USA}",DBLP:conf/ssdbm/2001
1979,,,"Enhancing a Fuzzy Logic Inference Engine through Machine Learning
for a Self- Managed Network",,"Panagis Magdalinos and
Apostolos Kousaridas and
Panagiotis Spapis and
George Katsikas and
Nancy Alonistioti",2011,article,MONET,4,16,http://dx.doi.org/10.1007/s11036-011-0327-1,475--489,,
1980,,,Model Selection,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_551,683,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1981,,,"A cooperative coevolutionary algorithm for instance selection for
instance-based learning",,"Nicol{\'{a}}s Garc{\'{\i}}a{-}Pedrajas and
Juan Antonio Romero del Castillo and
Domingo Ortiz{-}Boyer",2010,article,Machine Learning,3,78,http://dx.doi.org/10.1007/s10994-009-5161-3,381--420,,
1982,,,Machine learning in space: extending our reach,,"Amy McGovern and
Kiri L. Wagstaff",2011,article,Machine Learning,3,84,http://dx.doi.org/10.1007/s10994-011-5249-4,335--340,,
1983,,,Hypothesis Language,,Hendrik Blockeel,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_372,507--511,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1984,,,Q-Learning,,Peter Stone,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_683,819,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1985,,,Observation Language,,Hendrik Blockeel,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_608,733--735,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1986,,,Hypothesis Space,,Hendrik Blockeel,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_373,511--513,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1987,,,Inductive Database Approach to Graphmining,,Stefan Kramer,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_391,522--523,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1988,,,A Machine Learning Approach for Resolving Place References in Text,,"Bruno Martins and
Ivo Anast{\'{a}}cio and
P{\'{a}}vel Calado",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-12326-9_12,221--236,"Geospatial Thinking - International AGILE'2010 Conference, Guimar{\~{a}}es, Portugal, 11-14 May 2010",DBLP:conf/agile/2010
1989,,,Attribute Selection,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_42,53,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1990,,,Linear Algorithms for Online Multitask Classification,,"Giovanni Cavallanti and
Nicol{\`{o}} Cesa{-}Bianchi and
Claudio Gentile",2010,article,Journal of Machine Learning Research,,11,http://portal.acm.org/citation.cfm?id=1953026,2901--2934,,
1991,,,"Machine learning classification with confidence: Application of transductive
conformal predictors to MRI-based diagnostic and prognostic markers
in depression",,"Ilia Nouretdinov and
Sergi G. Costafreda and
Alexander Gammerman and
Alexey Ya. Chervonenkis and
Vladimir Vovk and
Vladimir Vapnik and
Cynthia H. Y. Fu",2011,article,NeuroImage,2,56,http://dx.doi.org/10.1016/j.neuroimage.2010.05.023,809--813,,
1992,,,Envision: {A} User-Centered Database of Computer Science Literature,,"Lenwood S. Heath and
Deborah Hix and
Lucy T. Nowell and
William C. Wake and
Guillermo A. Averboch and
Eric Labow and
Scott A. Guyer and
Dennis J. Brueni and
Robert K. France and
Kaushal Dalal and
Edward A. Fox",1995,article,Commun. {ACM},4,38,http://doi.acm.org/10.1145/205323.376383,52--53,,
1993,,,The Primary Language of ancient battles,,"Boris Stilman and
Vladimir Yakhnis and
Oleg Umanskiy",2011,article,Int. J. Machine Learning {\&} Cybernetics,3,2,http://dx.doi.org/10.1007/s13042-011-0029-9,157--176,,
1994,,,"Retrieving Tract Variables From Acoustics: {A} Comparison of Different
Machine Learning Strategies",,"Vikramjit Mitra and
Hosung Nam and
Carol Y. Espy{-}Wilson and
Elliot Saltzman and
Louis Goldstein",2010,article,J. Sel. Topics Signal Processing,6,4,http://dx.doi.org/10.1109/JSTSP.2010.2076013,1027--1045,,
