id,title,category,brand,modelno,price,proddescrlong
1491,draper matte white rolleramic electric screen - av format 84 x 84,electronics - general,draper,115004,1391.0,dr3882rolleramic heavy-duty motorized projection screen. ideal for auditoriums and lecture halls hospitals hotels churches and other large venues. all-wood case may be recessed in the ceiling or painted to match its surroundings. end-mounted direct-drive motor sits on rubber vibration insulators minimizing friction and noise. features with control options it can be operated from any remote location. ntsc format screens have black borders on all four sides. depending on surface available in sizes through 20 x 20 and 25 ntsc. optionally available in hdtv and widescreen format. custom sizes available. warranted for one year against defects in materials and workmanship. screen material matte white the standard to which all other screen surfaces are compared. matt white vinyl reflective surface laminated to tear-resistant woven textile base. a matt white surface diffuses projected light in all directions so the image can be seen from any angle. provides accurate color rendition as well as superior clarity. recommended for use with all high light output projection devices. requires control of ambient light in the audience area. washable flame and mildew resistant. peak gain 1.0.
1492,draper matte white salara electric screen - av format 70 x 70,electronics - general,draper,132003,440.4,dr3979the salara is a new generation in electric projection screens. in your home or office the salara makes a design statement. the salara s small elliptical case and domed endcaps are finished in solid white. floating gunlatch wall mounting brackets grip the screen securely and are barely visible. features elliptical extruded aluminum case with domed endcaps and white finish floating gunlatch wall brackets grip the screen securely and are barely visible. ntsc hdtv and widescreen format have image area framed with black on all four sides. can be furnished with any standard control option. depending on surface available in sizes through 96 x 96 and 10 diagonal ntsc. custom sizes available warranted for one year against defects in materials and workmanship. screen material matte white the standard to which all other screen surfaces are compared. matt white vinyl reflective surface laminated to tear-resistant woven textile base. a matt white surface diffuses projected light in all directions so the image can be seen from any angle. provides accurate color rendition as well as superior clarity. recommended for use with all high light output projection devices. requires control of ambient light in the audience area. washable flame and mildew resistant. peak gain 1.0.
1493,energizer zero mercury 357 battery 3pk.,electronics - general,energizer,962266,0.0,energizer zero mercury 357 battery 3pk. zero mercury works in toys and electronic books 3-pack
1494,draper matte white access series e electric screen - widescreen 182 diagonal,electronics - general,draper,104255,1622.45,dr2507the access series e. motorized ceiling-recessed projection screen. sleek white extruded aluminum case installs above ceiling. trim flange finishes the ceiling opening. viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later date. features now available in 16 10 and 15 9 laptop presentation formats install an access case first and the screen later. motor-in-roller assures quiet and smooth operation. depending on surface available in sizes through 12 x 12 and 200 ntsc. custom sizes available. warranted for one year against defects in materials and workmanship. screen material matte white the standard to which all other screen surfaces are compared. matt white vinyl reflective surface laminated to tear-resistant woven textile base. a matt white surface diffuses projected light in all directions so the image can be seen from any angle. provides accurate color rendition as well as superior clarity. recommended for use with all high light output projection devices. requires control of ambient light in the audience area. washable flame and mildew resistant. peak gain 1.0.
1495,draper m1300 cineperm fixed frame screen - 144 x 144 av format,electronics - general,draper,250010,1094.99,dr7258cineperm permanently tensioned projection screen is a snap-on projection screen with aluminum frame. provides contemporary theatre-like appearance wherever a fixed screen is required. flexible viewing surface is stretched perfectly flat and snaps onto a 1 tubular aluminum frame for superior image quality. features now available in 2.35 1 cinemascope 16 10 and 15 9 laptop presentation formats. suitable for mounting to a wall or a ceiling or flying for theatrical uses. switch instantly between two projection formats with the optional eclipse masking system. custom sizes available warranted for one year against defects in materials and workmanship. screen material m1300 the perfect matt white diffusing surface. extremely broad light dispersion and spectral uniformity. panoramic viewing angle and true color rendition. recommended for use with any type of projector in rooms where the light level can be reasonably controlled. washable
1496,bic triumph 730r needle point roller pen 0.5mm red 1-dozen,stationery &amp; office machinery,bic,rt7511-red,22.49,bic 0.5mm triumph 730r needle point roller pen 1 dozen red ink combines style and elegance in a smooth writing refillable roller ultra smooth writing system for efforless writing contemporary barrel design for professional look contoured grip for comfort and control silver imprint and tapered end for premium look and feel refillable free ink cartridge
1497,disney mickey mouse portfolio,stationery &amp; office machinery,disney,,0.0,disney mickey mouse portfolio 2 organizer pockets fits inside a 3-ring binder
1498,visiontek radeon hd6770 1gb gddr5 graphics card,electronics - general,visiontek,900368,145.0,visiontek radeon hd6770 1gb gddr5 graphics card memory size 1gb 73.6gbps memory bandwidth terascale 2 unified processing architecture 720 stream processors pci express 2.1 x16 bus interface full directx 11 support hdr texture compression programmable hardware tessellation unit shadier model 5.0
1499,officemate plastic coated paper clips assorted colors 800pk,stationery &amp; office machinery,officemate,97228,8.88,officemate plastic coated paper clips assorted colors 800pk assorted colors number 2 size plastic container pvc-free plastic coating
1500,rediform office products brownline weekly appointment book w 30-minute schedule 7-5 8 x 10-1 4 black 2012,stationery &amp; office machinery,rediform office products,,22.29,uis1153monthly overviews introduce weekly formats for your workday schedule. appointments may be scheduled in 30-minute intervals from 7 am to 8 30 pm. each spread has boxes for daily priorities phone calls correspondence and personal notes. appointment ruling 7 am to 8 30 pm mon.-fri. cover color s black sheet size 7 5 8 x 10 1 4 edition year 2009. product details post-consumer recycled content percent nom 30 pct calendar reference blocks two months planner size folio binding type twin wire appointment ruling 7 am to 8 30 pm mon.-fri. separate sections correspondence daily priorities monthly overview notes phone calls calendar format weekly cover material s hard cover color s black sheet size 7 5 8 x 10 1 4 edition year 2009 global product type appointment books pocket s storage page format one week per two-page spread refillable nonrefillable calendar term 12-month jan.-dec. dated undated dated package includes appointment book and self-adhesive monthly tabs. product is in compliance with the governmental epa cpg standards for environmental friendly products. product is made of at least partially recycled material green product meets or exceeds epa guidelines for recycled content.
1501,logitech 985-000283 ue 200vi blue,electronics - general,logitech,985-000283,39.88,receive calls and listen to music on-cord controls 5 sizes of soft ear cushions xxs-l durable sweat resistant design noise isolation pocket-ready hard case 3.5mm jack
1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,this san diego padres iphone 4 case silicone skin is made of durable silicone and feels as good as it looks. the logo is laser screen officially licensed by mlb
1503,avery 2 heavy duty view binder with ezd ring navy blue,stationery &amp; office machinery,avery,79802,7.97,avery 2 documents gap free ring prevents gapping and misalignment of rings nonstick archival-safe material won t lift ink or toner off printed pages 40 percent post-consumer content
1504,kensington wireless presenter pro with green laser pointer,stationery &amp; office machinery,kensington,k72353us,59.88,kensington wireless presenter pro with green laser pointer ultra-bright green laser pointer for use on all screens designed to fit comfortably in the palm of your hand intuitive 4-button design is comfortable and easy to use 2.4ghz wireless with extended range up to 150 works with powerpoint and keynote - no drivers needed wireless receiver stores inside low-battery indicator and on off switch carrying case to carry and protect the presenter on the go requires 2 aaa batteries included
1505,targus 15.4 groove laptop backpack,electronics - general,targus,cvr600-wit,31.38,targus 15.4 front storage section padded cd and mobile phone pockets headphone port pen loops and key clip side pocket for accessories water bottle pocket pvc bottom protects against water and wear
1506,wilson jones super heavy weight sheet protector,stationery &amp; office machinery,wilson jones,21402,10.94,wilson jones super heavy weight sheet protector sheet protector keeps documents or overhead slide presentations safe acid free archival safe pvc-free
1507,elite screens maxwhite vmax2 plus2 series ezelectric motorized screen - 135 diagonal in white case,electronics - general,elite screens,vmax135xwh2,729.99,eli1235 the vmax2 has various control options that work in conjunction with its low voltage controller lvc . a 12v trigger port uses a standard rj45 connection and synchronizes the screen s drop and rise with your projector s power cycle. the wall box kit can be installed as an external wall-mounted control or use the extended ir eye receiver for recessed ceiling installations. features vmax2 series multi-purpose electric screen screen material elite screens maxwhite white aluminum casing adjustable vertical limit switch to regulate drop rise settings includes ir rf remote 3-way wall switch ir sense and 12v trigger optional wireless 12v trigger zsp-tr01 optional in-ceiling trim kits sold separately durable all-metal casing for wall and ceiling installation 160 degree wide viewing angle for large group presentations synchronized motor allows silent operation with extended operational longevity and low power consumption optional 6 -12 mounting brackets and extended warranty available specifications 135 diagonal 16 9 aspect ratio screen gain 1.1 overall dimensions 80.7 h x 130.6 w x 3.15 d 2-year parts and labor manufacturer warranty
1508,canon cli-226 cyan ink tank,printers,canon,4547b001,13.97,canon cli-226 cyan ink tank ink color cyan chromalife100 access to creative park premium
1509,imation 16gb pocket flash drive,usb drives,imation,27861,58.88,imation 16gb pocket flash drive compact design easily slips into your pocket or onto a keychain password protection software included no software installation required no additional power supply or cables required quick-release neck strap included
1510,cables unlimited ultrafast hardcore gaming hdmi cable,tv accessories,cables unlimited,gam-2295-06,18.57,cables unlimited ultrafast hardcore gaming hdmi cable 6 high speed hdmi cable hdmi atc certified high speed hdmi cables supports 3d over hdmi feature for true 3d gaming 3d tv and 3d home theater applications 4k video support for resolutions far beyond 1080p supports audio return channel fully hdcp compliant to provide the highest level of signal quality supports uncompressed audio video signals shielded for maximum protection from rfi and emi interference perfect for both high-resolution video and standard video formats supports 8 channel surround sound transfer rates of up to 340mhz or 10.2gbps meets dolby truehd and dts-hd master audio standards does not provide ethernet over hdmi functionality
1511,canon powershot elph 100 hs blue 12.1mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints,digital cameras,canon,4925b001aa,178.54,canon powershot elph 100 hs digital camera 12.1 megapixel resolution for large detailed shots that allow for poster-sized prints or tight crops 4x optical zoom get up close to your subject without sacrificing image quality 3.0 memory card is required to operate 1 sd card slot upon purchase of this item you will receive a promotional email for bonus prints from walmart.com. go to the url provided in the email anytime between 7 16 11 and 8 31 11. if you do not already have a walmart.com photo account please create one so you can be credited for your prints. enter the 16-digit code on your trial offer select the photo s of your choice and continue to checkout. your redeemed credits will be applied upon an online purchase of 50 one-hour photo 4 x 6 print s available for pickup in your local walmart store. each trial offer code can only be used once and must be redeemed prior to the offer expiration deadline of 12 31 11. if you have any questions please contact walmart.com customer service at photo walmart.com.
1512,uniden d1680 dect 6.0 with caller id and call waiting,electronics - general,uniden,d1680,33.84,uniden d1680 dect 6.0 with caller id and call waiting dect 6.0 technology digital answering system eco mode intelligently manages power consumption caller id call waiting 50 number caller id memory 100 name number phonebook memory last 5 number redial handset speakerphone backlit keypad and display intercom or call transfer between handsets expandable up to 12 handsets with 1 phone jack silent mode 7 day standby personal ringers wireless network friendly compatible with drx100 range extender
1513,snapshield p2 polycarbonate case ipad 2 smoke,mp3 accessories,scosche,ipd2pcbk,20.88,snapshield p2 polycarbonate case ipad 2 protects ipad 2 material polycarbonate color smoke
1514,universal remote kp-900wh ir rf wireless keypad remote with mounting bracket black,tv accessories,universal remote,kp-900bl,299.99,universal remote kp-900wh ir rf wireless keypad remote with mounting bracket controls up to 255 devices controls all home a v equipment backlit lcd screen dual-use wireless keypad learning and macro capabilities can be installed in any room without the need to run wires 4mb flash memory 418mhz up to 100 range 4 x aaa batteries not included color black
1515,targus 17 blacktop 17e deluxe laptop case w dome protection cpt401dus,electronics - general,targus,cpt401dus,67.88,capacity designed to accommodate laptops with up to 17 screens protection features the targus patented dome protection system to significantly reduce the chance of laptop screen damage the molded rubber-like tread at the bottom of the case provides additional shock absorption organization front flap pocket allows for quick access to your airline ticket or passport includes a back slip pocket pen loops mesh pocket key clip business card holder five cd dvd sleeves and two large mesh pockets for additional storage material constructed of durable 1680d polyester with 330d nylon twill
1516,kingston 1gb 667mhz ddr2 sodimm notebook memory,memory,kingston,kvr667d2s5/1g,17.92,technical information memory size 1gb memory technology ddr2 sdram number of modules 1 x 1gb memory speed 667mhz ddr2-667 pc2-5300 error checking ecc signal processing fully buffered physical characteristics form factor 240-pin dimensions 8.8mm thickness x 30.35mm width x 133.35mm length miscellaneous compatibility asus dsbf-d sas motherboard gigabyte ga-7besh-rh motherboard ga-7vcsv-rh motherboard intel s5000pal server s5000psl server s5000vsa server s5000xvn workstation iwill dpk66 motherboard dpk66s motherboard dpk66s-scsi motherboard supermicro superworkstation 7045a-8 sys-7045a-8 superworkstation 7045a-t sys-7045a-t x7da8 motherboard x7dae motherboard x7db3 motherboard x7db8 motherboard x7db8 motherboard x7db8-x motherboard x7dbe motherboard x7dbe motherboard x7dbe-x motherboard x7dbr-3 motherboard x7dbr-8 motherboard x7dbr-e motherboard x7dbr-i motherboard x7dbx-8 motherboard x7dbx-i motherboard x7dva-8 motherboard x7dva-e motherboard x7dvl-e motherboard tyan computers tank gt20 b5372 tank gt25 s5381 tempest i5000pw s5382 tempest i5000px s5380 tempest i5000vf s5370 tempest i5000vs s5372 tempest i5000xl s2692 tempest i5000xt s2696
1517,solo 17 rolling laptop case,electronics - general,solo,pt1364,89.88,
1518,rf link 5.8ghz audio video transmission system with ir repeater,electronics - general,rf link,avs-5811,94.54,5.8ghz wireless transmitter and receiver with four selectable channels avoids interference from crowded 2.4ghz ism band applications transmits and receives crisp video and hi-fi stereo even through walls long transmission range of up to 300 feet with clear line-of-sight permits simultaneous viewing of video programs on a second tv monitor without wires
1519,startech.com sveconus6 ultra thin usb kvm cable,electronics - general,startech,sveconus6,12.88,kvm cable cable length 6 ft. compatible with kvm switches keyboards monitors and mice
1520,iomega 33716 70gb rev media,mp3 accessories,iomega,33716,229.98,compatibility rev 70gb drives package contents 5 x 70gb rev media 5 plastic cases and 15 x disk labels storage capacity 70 gb native
1521,startech.com pciscsiuw 1 port pci ultra wide scsi controller adapter card,electronics - general,startech,pciscsiuw,75.88,scsi controller host interface pci form factor plug-in card data transfer rate up to 40 mbps
1522,hp q1413a universal heavyweight coated paper,stationery &amp; office machinery,hp,q1413a,58.78,heavyweight coated card for use with inkjet printers ideal for technical and graphics applications including presentations indoor signs and posters 1 roll - 36 x 100
1523,maxell jelleez ear buds pink,electronics - general,maxell,eb-pk,7.01,key features lightweight soft comfort design soft-touch rubber color matching cord and plug ideal for all portable cd dvd mp3 ipod players color pink
1524,draper matte white access series e electric screen - ntsc 100 diagonal,electronics - general,draper,104015,1486.95,dr2303the access series e. motorized ceiling-recessed projection screen. sleek white extruded aluminum case installs above ceiling. trim flange finishes the ceiling opening. viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later date. features now available in 16 10 and 15 9 laptop presentation formats install an access case first and the screen later. motor-in-roller assures quiet and smooth operation. depending on surface available in sizes through 12 x 12 and 200 ntsc. custom sizes available. warranted for one year against defects in materials and workmanship. screen material matte white the standard to which all other screen surfaces are compared. matt white vinyl reflective surface laminated to tear-resistant woven textile base. a matt white surface diffuses projected light in all directions so the image can be seen from any angle. provides accurate color rendition as well as superior clarity. recommended for use with all high light output projection devices. requires control of ambient light in the audience area. washable flame and mildew resistant. peak gain 1.0.
1525,cobra 16-mile range 22-channel gmrs 2-way radio,walkie-talkie/frs,cobra,cx-105,29.98,key features up to 16 mile range 22-channels for easy communication 121 privacy codes single pin speaker microphone charge jack lcd display for easy viewing call alert for incoming calls includes 8 aaa nimh rechargeable batteries and wall charger
1526,sharpie pen fine point pens assorted colors set of 4,stationery &amp; office machinery,sharpie,1742662,6.64,sharpie pen fine point pens specially designed for your everyday writing needs bold permanent ink won t bleed through paper resists smearing fine point tip delivers precise and consistent writing durable tip quick-drying ink waterproof and fade-resistant comes with 4 colored pens
1527,bic great erase grip chisel dry erase marker black 12pk,stationery &amp; office machinery,bic,gdem11-blk,16.08,bic great erase grip chisel dry erase marker black ink smooth ink flow with bold vivid color erases easily with minimal ghosting acmi-approved non-toxic 12pk of markers
1528,innovera m4640 compatible remanufactured high-yield ink 484 page-yield black,printers,innovera,m4640,24.99,innovera m4640 compatible remanufactured high-yield ink 484 page-yield black compatible ink for dell 922 photo all-in-one produces 474 pages at 5 percent coverage economical alternative to oem prices smooth even coverage rigorously tested for quality assurance
1529,dell switch by design studio lids fire red 17r,electronics - general,dell,8cmcy,24.0,dell switch by design studio lids fire red 17r custom made for your 2011 17 inspiron r series laptops slides on along the top of the laptop and clicks in provides the same look and feel of a permanent laptop lid color fire red
1530,wausau paper astrobrights colored paper 24lb 8-1 2 x 11 planetary purple 500 sheets ream,stationery &amp; office machinery,wausau paper,22621,10.27,wausau paper astrobrights colored paper 24lb 8-1 2 x 11 500 sheets ream 24-lb. 8 1 2 x 11 assorted bright colored office paper professional quality guaranteed performance in laser and inkjet printers create attention-getting notices flyers announcements and bulletins acid-free lignin-free
1531,hon 10700 series right pedestal credenza 72w x 24d x 29-1 2h mahogany,furniture,hon,10707rnn,799.0,hon 10700 series credenza laminate single pedestal credenza 2 locking file drawers drawers operate on steel ball bearing suspensions hang rails accommodate letter and legal size hanging files 2 cord management grommets high-pressure laminate with rounded corners and waterfall edge no assembly required
1532,da-lite high power model b manual screen with csr - 60 x 80 video format,electronics - general,da-lite,85319,369.99,dl6530 features offered exclusively by da-lite the controlled screen return csr system adds an impressive feature to the ever-popular model b design. the csr system ensures the quiet controlled return of the screen into the case providing optimal performance and smooth consistent operation. screens with the csr feature must be fully extended. there are not intermediate stopping positions. pull cord included. screen material high power a technological breakthrough providing the reflectivity and optical characteristics of a traditional glass beaded surface with the ability to clean the surface when necessary. its smooth textured surface provides the highest gain of all front projection screen surfaces with no resolution loss. the moderate viewing angle and its ability to reflect light back along the projection axis make this surface the best choice for situations where there is a moderate amount of ambient light and the projector is placed on a table-top or in the same horizontal viewing plane as the audience. flame retardant and mildew resistant. viewing angle 30 gain 2.4
1533,smead manila 100 percent recycled file folders box of 100,stationery &amp; office machinery,,10339,13.88,smead manila 100 percent recycled file folders box of 100 top tab folders featuring acid-free 100-percent recycled manila construction 3 4 expansion scoring high-quality environmentally conscious construction reinforced tabs letter size 1-ply with top tab box of 100
1534,griffin ipod touch 4g formfit case pink clear,mp3 accessories,arkon,gb01959,17.13,griffin ipod touch 4g formfit case stretch-to-fit silicone skin sheer translucent material improves grip molded-in cutouts for headphone jack and dock retaining rim frames multi-touch display includes micro stand for video viewing color pink clear
1535,mercury luggage executive computer backpack,handbags,mercury luggage,,56.99,myl1018 this computer backpack is a fashionable and functional way to transport your laptop computer. besides the heavily padded main compartment for the computer there is a front zippered organizer gusset file pockets mesh and accessory pockets in the dome and two zippered gusset pockets on the side. with so many pockets you can store all your computer s accessories and more and still stay organized. it includes a detachable shoulder strap and luggage tag for easy travel. features available in black only zippered mesh and accessory pockets in dome constructed of 600 denier polyester large heavily padded main compartment front zippered organizer and gusset file pockets two side zippered gusset pockets detachable adjustable shoulder strap with luggage tag overall dimensions 8 h x 13 1 2 w x 16 d
1536,startech 3.5 external usb ide hard drive enclosure black,electronics - general,startech,ide3510u2,28.88,startech 3.5 external usb ide hard drive enclosure hot-swap capability pc mac and linux compatible led indicators data transfer rates up to 480mbps compact and lightweight design plug and play for usb 2.0 aluminum design cools and protects hard drive color black
1537,hp 8gb v220w usb flash drive,usb drives,pny,p-fd8gbhp220-ef,14.84,features a thin metal design for a sleek and slim way to store and share music photos and files store transport and share your favorite documents photos music videos and more key fob included to attach to key chains backpacks carry-on s etc. so important files are never out of reach
1538,sony bravia 40 class lcd 1080p 120hz hdtv kdl-40ex500,electronics: flat panel tv,sony,kdl-40ex500,718.0,40 screen measured diagonally from corner to corner
1539,lexar platinum ii 16gb sd sdhc memory card,usb drives,lexar,lsd16gbsbna100,32.98,lexar platinum ii 16gb sd sdhc memory card storage capacity 16gb memory card quantity 1 x 16gb form factor secure digital high capacity
1540,acer black vx275-ud7601w desktop pc with intel core 2 duo e7600 processor 320gb hard drive and windows 7 professional monitor not included,desktop computers,acer,ps.vam03.033,498.0,acer vx275-ud7601w desktop pc key features and benefits intel core 2 duo e7600 processor 3.06ghz 3mb cache 4gb ddr3 sdram system memory gives you the power to handle most power-hungry applications and tons of multimedia work 320gb sata hard drive store 213 000 photos 91 000 songs or 168 hours of hd video and more dvd - r rw drive watch movies and read and write cds and dvds in multiple formats 10 100 1000 gigabit ethernet connect to a broadband modem or wired broadband router with wired ethernet integrated intel gma x4500 graphics additional features 10 x usb 2.0 ports 1 x audio line-in 1 x audio line-out 1 x rj-45 ethernet port 1 x vga port software genuine microsoft windows 7 professional 64-bit edition to learn more about the features of windows 7 click here microsoft office starter 2010 includes reduced functionality versions of microsoft word and excel with advertising. powerpoint and outlook are not included. purchase office 2010 today and get the most out of your new pc. to learn more about the features of office 2010 click here backup and restore options built into windows allows you to create safety copies of your most important personal files so you re always prepared for the worst support and warranty 3-year limited warranty restore discs are no longer included with pcs. we recommend you use the installed software to create your own restore and backup dvd the first week you use the computer. what s in the box power cord keyboard mouse quick start guide to see the manufacturer s specifications for this product click here . to see a list of our pc accessories click here . trade in your used computer and electronics for more cash to spend at walmart. good for your wallet and the environment - click here .
1541,kodak m200 digital camera w 50 bonus prints bonus 4gb memory card and bonus case value bundle,digital cameras,kodak,,89.0,kodak easyshare mini m200 10mp digital camera 10 megapixel resolution delivers excellent picture quality kodak 29-87mm zoom lens features a 3x optical zoom 2.5 tft lcd display enjoy easy focus selection and photo viewing avi movie file format record movies with vga quality on this compact camera 16 scene modes provide creative options for taking eye-catching photos with accurate color kodak share button upload photos to kodak gallery facebook twitter youtube flickr and more memory card specifications compatible sd sdhc memory cards internal memory 32mb 1 sd sdhc slot
1542,audiosource bi8 8 in-wall construction bracket mount,furniture,audiosource,bi8,25.88,audiosource bi8 8 on center pair
1543,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g,electronics - general,apc,be750g,95.88,technical information plug connector type nema 5-15p receptacles 5 x nema 5-15r - battery backup system 5 x nema 5-15r - surge-protected dataline protection rj-45 cable modem video protection dsl fax isdn modem 10-100 base-t protection power description load capacity 750va 450w input voltage 110v ac input voltage range 120v ac nominal 88v ac to 139v ac mains operation output voltage 120v ac nominal frequency 50hz input 60hz filtering full time multi-pole noise filtering 5 ieee surge let-through zero clamping response time interfaces ports interfaces ports usb battery information batteries spill proof maintenance free sealed lead-acid backup run time 2.3 minute 450w full-load 11.3 minute 225w half-load battery recharge time 16 hour typical physical characteristics form factor desktop dimensions 3.48 standards ul 1449 fcc part 15 class b fcc part 68 nom ul 1778 software included free trial of anti-virus firewall email privacy system recovery and online backup software
1544,dymo 12-hour time-expiring adhesive badges 250,printers,dymo,30911,29.88,
1545,royal ds3 postal rate scale,stationery &amp; office machinery,royal,ds3,24.54,3 pounds weight capacity 1.36 kilograms resolution 0.1 ounce 1 gram increments pull-out storage drawer convenient storage for stamps paper clips etc. digital read-out tare feature hold feature displays weight in pounds ounces or metric postal rate chart included us postal service and canada post
1546,logitech clearchat style pc headset,electronics - general,logitech,9.81000018e8,16.84,connectivity technology wired earpiece design behind-the-neck earpiece type binaural microphone technology noise canceling microphone design boom microphone sensitivity -39 db -59 db interfaces portshost interface mini-phone package contents clearchat style headset user guide
1547,fellowes standard glare filter for 16-17 monitors,computers,fellowes,93785,39.84,
1548,whistler laser radar detector with enhanced high performance improved ka band sensitivity ka max mode,automotive - general,whistler,xtr690 se,178.88,360 total band protection laser detection radius x k ka superwide band total band protection 72 point digital compass - display shows compass headings in 5 increments pop mode radar exclusive twin alert periscopes 3 city modes high-gain lens selectable tone alerts selectable bands stay alert and dim dark mode quiet auto quiet modes alert priority setting saver vehicle battery saver and safety warning system patented vg-2 cloaking technology blue lcd text display enchanced high-performance improved ka band sensitivity and ka max mode real voice alerts provides verbal band identification includes windshield mounting bracket hardware kit and straight power cord
1549,comprehensive 1 4 standard phone plug to 3-pin xlr jack set of 10,tv accessories,comprehensive,spp-xlrj,79.9,ch1293comprehensive premium standard phone 1 4 plug to xlr jack audio adapter comprehensive offers a lifetime warranty on all products
1550,trendnet tv-ip312w wireless day night internet camera server with 2-way audio,garden - general,trendnet,,244.88,sensor 1 4 color cmos sensor resolution 640 x 480 pixel fixed lens f 4.6mm f 2.8 ir lens viewing angle 60 degree minimum illumination 0.5lux f2.0
1551,blue crane nbc121 introduction to the canon 50d volume 1 basic controls dvd,camera and camcorder accessories,norazza,nbc121,19.0,topics include auto modes creative auto shutter priority aperture priority depth of field depth of field preview focus alternatives metering white balance color temperature playback and image review live view shooting exposure compensation flash basics custom functions introduction programmable buttons info button composition self timer picture styles and much more the canon 50d is a powerful piece of equipment. a solid understanding of its features and controls can really unleash its potential. once you learn how the camera s components work together you ll have all the tools you need to capture the best images under all conditions. ntsc running time 75 minutes all regions
1552,ematic universal ebook reader accessory kit,mp3 accessories,ematic,ea103,18.88,ematic universal ebook reader accessory kit usb wall charger car charger soft cleaning cloth 2 sets of protective sleeves usb cable in-ear headphones
1553,elite electric120v screens spectrum electrol projection screen,electronics - general,elite screens,electric120v,189.0,viewing size h x w 72 width
1554,dymo black embossing tape 3-pack,stationery &amp; office machinery,dymo,1741670,6.82,dymo black embossing tape plastic cartridges self-adhesive easy to use compatible with all manual label printers
1555,draper irus rear projection screen with system 200 black frame - 67 diagonal ntsc format,electronics - general,draper,125109,1972.5,dr7901the infinite resolution unifromity screen is developed specifically for today s high resolution single lens projectors. today s projectors offer highter resolutions than ever before which means more information for your audience to absorb. drapers screens are up to the challenge. this screen includes unbeatable uniformity of the projected image from top to bottom and from center to corner free of hot spots. excellent color contrast properties and ability to deal with uncontrolled ambient light are also present. features single element rear projection screen 180 viewing cone 1 4 thick acrylic substrate irus does not have a fixed focal length so there are no focal length incompatibility issues warranted for one year against defects in materials and workmanship
1556,everki commute 17 laptop sleeve with memory foam ekf808s17,electronics - general,everki,everki usa ekf808s17,26.88,key features fits laptops up to 17 advance memory foam padding soft fine-felt inner lining front accessory pocket in between handle cover keeps dust moisture out
1557,everki shield 3-in-1 laptop screen protector cleaner mouse pad ekf802,electronics - general,everki,everki usa ekf802,9.88,key features protects laptop lcd displays clean and buff lcd displays ultra-soft fabric with cushioned foam layer works great as a mouse pad fits most popular laptop sizes
1558,ape case standard dslr holster,photography - general,ape case,acpro650,29.88,ape case standard dslr holster holds dslr camera with up to a 6.5 d
1559,paper mate mechanical pencil starter set,stationery &amp; office machinery,paper mate,1739312,4.87,paper mate mechanical pencil starter set 0.7mm lead included pre-filled with 12pcs of lead holds up to 25pcs of lead clear window to monitor lead supply smudge-resistant eraser
1560,pc treasures wireless optical mouse 2.4ghz purple,mice,pc treasures,07227,17.82,pc treasures wireless optical mouse 2.4ghz r mini wireless mouse optical sensitivity 3 button manipulation scroll wheel includes nano usb receiver color purple
1561,bic reaction mechanical pencil 0.5mm black 1-dozen,stationery &amp; office machinery,bic,mcpf11-blk,18.86,bic 0.5mm reaction mechanical pencil 1 dozen with d-flexion technology for extra comfort and control comfortable full-length grip three full-length 2 leads per pencil ideal for home office or school refillable
1562,pioneer 10 subwoofer with single voice coil 350w,car stereos,pioneer,ts-w259s4,113.0,pioneer 10 subwoofer with single voice coil 350w 1 200w max power 350w nominal power model ts-w259s4
1563,asus f1a75-m pro amd a75 micro atx motherboard,electronics - general,asus,f1a75-m pro,112.0,asus f1a75-m pro amd a75 micro atx motherboard dual intelligent processors 2 with digi vrm- digital power design uefi bios ez mode auto tuning native usb 3.0 sata 6gb s support ai suite ii quad usb 3.0 sata 6gb s support multi-gpu crossfirex support
1564,incipio smart feather for apple ipad 2 light blue,electronics - general,incipio,ipad-227,33.25,incipio smart feather for apple ipad 2 apple smart cover magnets adhere near each of the two side corners hard shell polycarbonate material less than 1mm in thickness approximately 2 oz stylish and protective soft touch matte finish
1565,energizer dual universal usb wall charger,mp3 accessories,energizer,pc-2wa,20.88,energizer dual universal usb wall charger charges most usb-powered devices compact design with fold-down plug blades output dc5v x 2 1.5a total 2 usb ports
1566,sony stick ac adapter with usb charging for vaio laptops,electronics - general,sony,vgp-ac19v51,99.0,sony stick ac adapter with usb charging for vaio laptops designed exclusively for use with the vaio laptops using a 19v ac adapter innovative and compact size ideal for mobile users 2 usb ports allow you to connect and charge most usb accessories includes power cord and storage case model vgp-ac19v51
1567,omnimount medium lcd cantilever wall mount 23 - 37 screens,furniture,omnimount,,159.95,om0098part of the visual display series this wall mount from omnimount is designed to accommodate large lcds and medium plasmas. its articulating arm feature allows you to store your tv flat or pulled out away from the wall. features fits most screens 23 -37 mount has swivel pan tilt and swing-out abilities vesa 75 up to 400 200mm x 200mm separate adapter plate is required for use with certain lcd plasma screens 25 degree up down tilt controlled with tension screws max load - 80 lbs cannot ship to puerto rico an adapter plate is often required for certain monitors. please see related items for this product for adapter plate information. specifications arm length wall to hinge is 14.38 wall plate dimensions 14.69 h x 1.75 w arm extends 25 from wall depth of mount is 4.25 when retracted need professional installation use the or the give us a call with any questions
