Sno,Album_Name,Album_Price,Artist_Name,CopyRight,Customer_Rating,Genre,Price,Released,Song_Name,Time
3867,Bring You Back,$9.99 ,Brett Eldredge, 2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4.71875,"Country,Music,Honky Tonk,Traditional Country,Contemporary Country",$1.29 ,6-Aug-13,"One Mississippi (Live from CMT ""Listen Up"")",4:10
3868,Bring You Back,$9.99 ,Brett Eldredge, 2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4.71875,"Country,Music,Honky Tonk,Traditional Country,Contemporary Country",$1.29 ,6-Aug-13,"One Mississippi (Live from CMT ""Listen Up"")",4:10
3869,Bring You Back,$9.99 ,Brett Eldredge, 2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4.71875,"Country,Music,Honky Tonk,Traditional Country,Contemporary Country",$1.29 ,6-Aug-13,"One Mississippi (Live from CMT ""Listen Up"")",4:10
3870,Bring You Back,$9.99 ,Brett Eldredge, 2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4.71875,"Country,Music,Honky Tonk,Traditional Country,Contemporary Country",$1.29 ,6-Aug-13,"One Mississippi (Live from CMT ""Listen Up"")",4:10
3871,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3872,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3873,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3874,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3875,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3876,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3877,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3878,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3879,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3880,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3881,Bring You Back,$9.99 ,Brett Eldredge, 2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4.71875,"Country,Music,Honky Tonk,Traditional Country,Contemporary Country",$1.29 ,6-Aug-13,"One Mississippi (Live from CMT ""Listen Up"")",4:10
3882,Bring You Back,$9.99 ,Brett Eldredge, 2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4.71875,"Country,Music,Honky Tonk,Traditional Country,Contemporary Country",$1.29 ,6-Aug-13,"One Mississippi (Live from CMT ""Listen Up"")",4:10
3883,Bring You Back,$9.99 ,Brett Eldredge, 2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4.71875,"Country,Music,Honky Tonk,Traditional Country,Contemporary Country",$1.29 ,6-Aug-13,"One Mississippi (Live from CMT ""Listen Up"")",4:10
3884,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3885,Illinois,$9.99 ,Brett Eldredge, 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company,4.6142,"Country,Music,Contemporary Country,Honky Tonk,Traditional Country",$1.29 ,11-Sep-15,Going Away For a While,3:13
3886,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",3.64994,"Pop,Music,Dance,R&B/Soul,Contemporary R&B,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3887,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3888,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,3.67403,"Pop,Music,Rock,Dance,R&B/Soul,Contemporary R&B",$1.29 ,29-May-15,X2CU,5:13
3889,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3890,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,3.67403,"Pop,Music,Rock,Dance,R&B/Soul,Contemporary R&B",$1.29 ,29-May-15,X2CU,5:13
3891,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3892,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3893,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3894,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,3.67403,"Pop,Music,Rock,Dance,R&B/Soul,Contemporary R&B",$1.29 ,29-May-15,X2CU,5:13
3895,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",3.64994,"Pop,Music,Dance,R&B/Soul,Contemporary R&B,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3896,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3897,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3898,Cyberlove (feat. Mims) - Single,$0.99 ,Jason Derulo, 2013 American King Music,4.57143,"Pop,Music,R&B/Soul",$0.99 ,20-Nov-13,Cyberlove (feat. Mims),3:44
3899,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3900,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",3.64994,"Pop,Music,Dance,R&B/Soul,Contemporary R&B,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3901,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,3.67403,"Pop,Music,Rock,Dance,R&B/Soul,Contemporary R&B",$1.29 ,29-May-15,X2CU,5:13
3902,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3903,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3904,Undefeated - Single,$1.29 ,Jason Derulo, 2012 Warner Bros. Records Inc.,4.28926,"Pop,Music,Rock,R&B/Soul,Contemporary R&B",$1.29 ,22-May-12,Undefeated,3:36
3905,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3906,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3907,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",3.64994,"Pop,Music,Dance,R&B/Soul,Contemporary R&B,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3908,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3909,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",3.64994,"Pop,Music,Dance,R&B/Soul,Contemporary R&B,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3910,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,3.67403,"Pop,Music,Rock,Dance,R&B/Soul,Contemporary R&B",$1.29 ,29-May-15,X2CU,5:13
3911,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,3.67403,"Pop,Music,Rock,Dance,R&B/Soul,Contemporary R&B",$1.29 ,29-May-15,X2CU,5:13
3912,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",3.64994,"Pop,Music,Dance,R&B/Soul,Contemporary R&B,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3913,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3914,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",3.64994,"Pop,Music,Dance,R&B/Soul,Contemporary R&B,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3915,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3916,Don't Wanna Go Home - Single,$1.29 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.25691,"Pop,Music,Hip-Hop/Rap,Rap,Rock,R&B/Soul,Contemporary R&B",$1.29 ,20-May-11,Don't Wanna Go Home,3:26
3917,Talk Dirty (en Espaձol) [feat. 2 Chainz] - Single,$1.29 ,Jason Derulo, 2014 Warner Bros. Records Inc.,2.95862,"Pop,Music",$1.29 ,11-Mar-14,Talk Dirty (en Espaձol) [feat. 2 Chainz],2:57
3918,Talk Dirty (en Espaձol) [feat. 2 Chainz] - Single,$1.29 ,Jason Derulo, 2014 Warner Bros. Records Inc.,3.33333,"Pop,Music",$1.29 ,11-Mar-14,Talk Dirty (en Espaձol) [feat. 2 Chainz],2:57
3919,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3920,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3921,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3922,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3923,Talk Dirty (feat. 2 Chainz) [TJR Remix] - Single,$1.29 ,Jason Derulo, 2014 Warner Bros. Records Inc.,3.22222,"Pop,Music,R&B/Soul,Rock,Dance,Contemporary R&B",$1.29 ,2-May-14,Talk Dirty (feat. 2 Chainz) [TJR Remix],4:07
3924,United We Are,$9.99 ,Hardwell," 2014 Hardwell Productions B.V., under exclusive license to Cloud 9 Music B.V. / Ultra Records, LLC",4.32203,"Dance,Music,Electronic,Rock,House",$1.29 ,23-Jan-15,Dare You (feat. Matthew Koma & Bebe Rexha) [Acoustic Version],3:06
3925,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3926,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3927,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3928,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3929,Summer Hits,$10.99 ,Jason Derulo, 2015 BY Music,3.85714,"Pop,Music",$1.29 ,27-Apr-15,Want to Want Me,3:27
3930,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3931,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3932,Breathing - Single,$1.29 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.53135,"Pop,Music",$1.29 ,9-Sep-11,Breathing,3:54
3933,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3934,Talk Dirty (feat. 2 Chainz) [TJR Remix] - Single,$1.29 ,Jason Derulo, 2014 Warner Bros. Records Inc.,3.11111,"Pop,Music,Dance,R&B/Soul,Contemporary R&B,Rock",$1.29 ,5-May-14,Talk Dirty (feat. 2 Chainz) [TJR Remix],4:07
3935,Wiggle (feat. Snoop Dogg) [TWRK Remix] - Single,$1.29 ,Jason Derulo, 2014 Warner Bros. Records Inc.,4.3125,"Dance,Music,R&B/Soul",$1.29 ,29-Jul-14,Wiggle (feat. Snoop Dogg) [TWRK Remix],3:52
3936,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,4.37313,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,1-Jun-15,X2CU,5:13
3937,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,3.67403,"Pop,Music,Rock,Dance,R&B/Soul,Contemporary R&B",$1.29 ,29-May-15,X2CU,5:13
3938,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3939,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3940,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3941,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3942,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3943,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3944,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3945,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3946,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3947,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3948,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3949,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3950,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3951,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3952,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3953,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3954,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3955,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3956,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3957,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3958,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3959,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3960,Reloaded,$9.99 ,Jason Derulo, 2011 This Compilation P2011 Warner Bros. Records Inc.,4.06757,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,16-Dec-11,Whatcha Say (Klubjumpers Remix Radio),4:02
3961,Ultra Dance 13,$13.99 ,deadmau5," 2012 Ultra Records, Inc.",3.62571,"Dance,Music,Electronic",$0.99 ,7-Feb-12,Raise Your Weapon,7:52
3962,Ultra Weekend 6,$13.99 ,Kaskade & Seamus Haji," 2010 Ultra Records,  Inc.",2.51429,"Dance,Music,Electronic",$1.29 ,25-May-10,So Far Away (with Haley),6:48
3963,Jason Derulo (Special Edition) - EP,$4.99 ,Jason Derulo, 2010 Warner Bros. Records Inc.,4.2459,"Pop,Music,R&B/Soul,Hip-Hop/Rap,Rap,Rock,Contemporary R&B",$1.29 ,1-Jul-11,The Sky's the Limit (Wideboys Club Mix),7:01
3964,Jason Derulo (Special Edition) - EP,$4.99 ,Jason Derulo, 2010 Warner Bros. Records Inc.,4.2459,"Pop,Music,R&B/Soul,Hip-Hop/Rap,Rap,Rock,Contemporary R&B",$1.29 ,1-Jul-11,The Sky's the Limit (Wideboys Club Mix),7:01
3965,Jason Derulo (Special Edition) - EP,$4.99 ,Jason Derulo, 2010 Warner Bros. Records Inc.,4.2459,"Pop,Music,R&B/Soul,Hip-Hop/Rap,Rap,Rock,Contemporary R&B",$1.29 ,1-Jul-11,The Sky's the Limit (Wideboys Club Mix),7:01
3966,Jason Derulo (Special Edition) - EP,$4.99 ,Jason Derulo, 2010 Warner Bros. Records Inc.,4.2459,"Pop,Music,R&B/Soul,Hip-Hop/Rap,Rap,Rock,Contemporary R&B",$1.29 ,1-Jul-11,The Sky's the Limit (Wideboys Club Mix),7:01
3967,Jason Derulo (Special Edition) - EP,$4.99 ,Jason Derulo, 2010 Warner Bros. Records Inc.,4.2459,"Pop,Music,R&B/Soul,Hip-Hop/Rap,Rap,Rock,Contemporary R&B",$1.29 ,1-Jul-11,The Sky's the Limit (Wideboys Club Mix),7:01
3968,Jason Derulo (Special Edition) - EP,$4.99 ,Jason Derulo, 2010 Warner Bros. Records Inc.,4.2459,"Pop,Music,R&B/Soul,Hip-Hop/Rap,Rap,Rock,Contemporary R&B",$1.29 ,1-Jul-11,The Sky's the Limit (Wideboys Club Mix),7:01
3969,That's My Shhh - Single,$1.29 ,Jason Derulo, 2011 Warner Bros. Records Inc.,2.12642,"Pop,Music,Rock",$1.29 ,26-Aug-11,That's My Shhh,4:20
3970,Make It Up As We Go - Single,$1.29 ,Jason Derulo, 2011 Warner Bros. Records Inc.,3.60191,"Pop,Music,Rock",$1.29 ,2-Sep-11,Make It Up As We Go,3:10
3971,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3972,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3973,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3974,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3975,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3976,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3977,Future History,$9.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.18753,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.29 ,19-Sep-11,Dumb,3:50
3978,Future History (Deluxe Version),$13.99 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.61916,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance",$1.99 ,16-Sep-11,It Girl,3:13
3979,"NOW That's What I Call Music, Vol. 40",$9.99 ,V V Brown & Chiddy," Compilation   2011 NOW Joint Venture. All rights reserved. Unauthorized reproduction is a violation of applicable laws. Manufactured by Capitol Catalog, 1750 North Vine Street, Hollywood, CA 90028.",3.3,"Pop,Music",Album Only,8-Nov-11,Children (feat. Chiddy) [NOW What's Next Bonus Track],3:13
3980,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",3.64994,"Pop,Music,Dance,R&B/Soul,Contemporary R&B,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3981,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3982,Everything Is 4,$7.99 ,Jason Derulo, 2015 Warner Bros. Records Inc.,3.67403,"Pop,Music,Rock,Dance,R&B/Soul,Contemporary R&B",$1.29 ,29-May-15,X2CU,5:13
3983,Talk Dirty,$9.99 ,Jason Derulo," 2013, 2014 Warner Bros. Records Inc.",4.13888,"Pop,Music,R&B/Soul,Contemporary R&B,Dance,Rock",$1.29 ,15-Apr-14,Marry Me,3:45
3984,It Girl - Single,$1.29 ,Jason Derulo, 2011 Warner Bros. Records Inc.,4.38922,"Pop,Music,Rock,R&B/Soul,Contemporary R&B",$1.29 ,9-Aug-11,It Girl,3:12
